东西征南北剿博古通今,0,东西战南北剿博古通呃今。
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,5672683.668402559,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,5678011.352978462,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,5687113.980144194,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,5697982.512958917,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,5715446.9472620515,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5733316.3259754265,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,5753091.53620362,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,5763795.183371715,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,5774640.467353523,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,5778550.9306307845,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,5785178.960109086,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,5788482.158577862,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,5797677.933156514,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5841363.263368857,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,5848116.894689605,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,5864904.327233744,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_6,这时候我只得暂且忍耐在心下，,5883839.826524125,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5890816.305335844,0.1
lseh-XiRiLi-BaoLianDeng.xml_2,都只为孤（哇）竹君身染重病（哪），,5893565.186837373,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,5895521.908478438,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,5899176.231155533,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_6,这时候我只得暂且忍耐在心下，,5918021.260264471,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,5931264.479140416,0.0
