东西征南北剿博古通今,0,东西战南北剿博古通呃今。
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7810182.60685634,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,7825030.425455673,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_3,身不爽不由人瞌睡朦胧。,7829680.17966024,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,7832144.081643374,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,7840309.942350289,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,7857130.147372096,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7861044.269926387,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,7868514.89149628,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,7892339.133503935,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,7895807.67863985,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,7896626.551968191,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,7901725.3820627965,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,7904406.396650137,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,7917324.525359943,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7919712.5844112085,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,7930209.39338683,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7938419.805719747,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,8000222.761984623,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,8001175.687604046,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,8007831.315800045,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,8017131.062276729,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,8019617.60009804,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,8023148.110602318,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,8024706.371482408,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,8026000.774297439,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,8031244.22600505,0.1
lsxp-WoBenShi-KongChengJi-1.xml_4,官封到武乡侯哇执掌帅印，,8053433.309737115,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,8060087.648507581,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,8084295.055055992,0.0
lsxp-WoBenShi-KongChengJi-2.xml_1,凭阴阳如反掌保定乾坤。,8084902.356743949,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,8088793.735119309,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,8088793.735119309,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8089533.197517857,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,8109316.049511207,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,8119344.323226579,0.0
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,8127315.831902944,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,8133669.832164603,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8135058.096298459,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8146581.691472306,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,8150261.813388394,0.0
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,8154097.420641258,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,8158699.349679628,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,8169311.940211604,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,8184579.824546277,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,8184579.824546277,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,8190913.903367339,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,8191769.889740511,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,8200821.293992559,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,8202241.846004398,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,8207112.6563642295,0.1
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,8209916.72896524,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,8240282.094289643,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,8241329.733660644,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8250267.291172111,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_2,为（呀）儿（啼）女我也曾朝山拜庙，,8273938.18893348,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,8279652.953603997,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,8279711.270504979,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,8286044.9974044645,0.0
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,8287800.965065497,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,8330659.196427976,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,8337428.024877317,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,8357549.654187777,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,8370239.240276586,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,8370239.240276586,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,8384618.068970085,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,8401867.238523897,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8413175.379585724,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,8428898.84859352,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,8432004.818408435,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,8441353.63422967,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,8449000.797521994,0.1
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,8455437.807531577,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,8462375.543454343,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,8481094.745533094,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,8489677.697087875,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,8495013.013220245,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,8495616.722306123,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8497495.784206746,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8497617.17143972,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,8497980.994859505,0.2
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,8511178.59144622,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,8515008.66029247,0.1
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,8530832.275235752,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,8568730.634821463,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,8574497.488427935,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8579969.446061749,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8582751.72788027,0.0
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,8602279.23889847,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,8623870.241987111,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,8633666.307290806,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,8646140.833853105,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,8661142.916016662,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,8663082.61567477,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,8670071.915383646,0.0
lsxp-WoBenShi-KongChengJi-1.xml_2,先帝呀爷下南阳御呀驾三请，,8674961.56900338,0.1
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,8686487.782613127,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,8688280.486394692,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,8690054.569485156,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,8694313.778630607,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,8714779.935342144,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,8735432.738960676,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,8743859.815385362,0.1
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8759785.25861883,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8768066.643836658,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,8771900.499139024,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,8784162.976343688,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,8785184.043746617,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,8795094.080042,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,8802797.617934823,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,8809653.296082363,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8814730.116504153,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8814730.116504153,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,8856125.13172788,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8857627.06635309,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,8868366.188218098,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_17,汉室后来贼是个惹祸的根芽。,8871411.625433559,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,8884507.834214607,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,8898429.251594191,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,8906466.395311961,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,8908428.617408575,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,8909074.927545415,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,8917080.404144544,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,8931642.25854381,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,8935814.79135408,0.1
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,8937007.597333243,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,8949485.605982145,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,8971434.138439657,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,8994217.618842673,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,9007950.928399522,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,9009753.29732544,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_3,身不爽不由人瞌睡朦胧（呃）（哪）。,9053307.921739968,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,9056641.54911165,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9072475.960697053,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,9073127.409039782,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,9075266.341141216,0.0
lsxp-DaHeYi-SiLangTanMu.xml_16,我是你四哥回宋营。,9079251.305707205,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,9080027.53515797,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,9080027.53515797,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,9089192.501790587,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9091969.019143712,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,9103535.048834344,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,9112061.225880958,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,9113712.370934913,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,9133225.710670933,0.0
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,9139889.20480476,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,9155611.159597058,0.0
lsxp-WoBenShi-KongChengJi-1.xml_0,我本是卧龙岗散淡哪的人，,9164319.261582399,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,9181335.429526692,0.1
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,9193500.54467108,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_1,陈宫心中乱如麻。,9198548.837593533,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,9214038.411927981,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,9228263.41108276,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,9231490.89656269,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,9238466.084252615,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,9255485.552671568,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,9268303.316709809,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,9276896.00567077,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,9278667.733662752,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,9286079.123060714,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,9292510.78368313,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,9305085.567466984,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,9305658.99765688,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,9311155.416220615,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,9320728.65726277,0.0
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,9347789.404287422,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,9348777.534286315,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,9349372.349976875,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,9351403.209931502,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,9351431.988561697,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,9368092.816488458,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,9368310.92693053,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,9377509.47901976,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,9379030.518101178,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,9400130.598076997,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,9401434.802581621,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,9406394.065571276,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,9406926.40807008,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,9432232.2200949,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,9435472.569453184,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,9451013.49519684,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,9458236.52574063,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,9464318.490289591,0.0
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,9497783.354433386,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,9500024.290761627,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,9507344.963873625,0.0
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,9509033.425091518,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_10,爹娘（呃）要相逢除非是梦（呃）里团圆。,9522087.28307474,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,9529147.544428872,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,9533898.958641224,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,9535413.37794991,0.0
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,9536259.413649049,0.2
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,9544932.062426759,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,9567828.487041296,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,9584133.232681101,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,9605494.659297638,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,9606311.610058999,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,9618615.670094948,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,9624590.983756388,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9647813.295571296,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9649986.117062982,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,9696348.445846925,0.1
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,9697776.781861696,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,9702772.74387719,0.0
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,9716238.059955489,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,9722795.285623046,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,9728860.557658738,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,9741716.01438714,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,9744323.599231292,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,9753438.93379639,0.1
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9755880.219640251,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,9761358.523500577,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,9764404.300034674,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,9782399.649474079,0.2
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,9799399.472915621,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,9803444.628854949,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,9824232.174829159,0.3
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,9829681.80338942,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,9841051.450473301,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,9843759.578101346,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,9846570.695550198,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,9850108.461798629,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9908317.535855072,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,9942785.860252813,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,9948501.162232973,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,9951297.80619385,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,9975163.141836291,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,9984155.935009768,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9991960.645968439,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,9995050.4307157,0.3
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,10011539.39277822,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,10020980.001031222,0.0
lsxp-WoBenShi-KongChengJi-2.xml_4,官封到武乡侯（呃）执掌帅印，,10027383.899216162,0.0
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,10045640.557112116,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10062005.669455959,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,10071012.336822806,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,10076604.700407496,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,10080243.967186948,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,10080484.969752155,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,10096778.328898957,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,10099395.633356621,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,10102790.842090983,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,10114547.19701464,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,10122935.046092514,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,10128015.28598312,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,10143440.939469695,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,10152064.675942862,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_19,安眠好似并底之蛙，,10154436.55484638,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,10205461.3411931,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,10218302.097300366,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,10232085.158273414,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,10246968.426542677,0.3
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,10275861.60880347,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,10276927.35244866,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,10278486.86884193,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,10284897.011065416,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,10291972.67700571,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,10313899.14830945,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,10320854.552301088,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_11,自有那神灵儿天地鉴察。,10356473.302772822,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,10366078.274268558,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,10374940.603263844,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,10376819.830680935,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,10396337.319825673,0.0
