尊一声过往的宾朋听从头,0,尊一声过往的宾朋听从头：
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,4163661.256227177,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,4174857.9084152826,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,4199905.424702046,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,4202162.011714922,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,4213220.000747783,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,4221658.656347633,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,4234428.382451881,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,4245222.262323871,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,4261790.349073321,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,4271723.542023046,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,4281152.531234612,0.18181818181818182
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4286311.034735736,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4288204.239924908,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,4299566.336568997,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,4300001.316878086,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,4301912.583867596,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,4306038.727018305,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,4313265.516004175,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,4320208.807224605,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,4342200.631930793,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,4373541.101975173,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,4394439.742485437,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,4399050.3319078535,0.0
