老军报他二人在洪羊洞丧命,0,老军报他二人在洪洋（呃）洞丧（呃）命，
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,7447281.964418796,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,7448817.44699485,0.08333333333333333
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,7471839.5893415855,0.08333333333333333
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,7481271.991110122,0.16666666666666666
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7554841.083760822,0.08333333333333333
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,7559102.288389827,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7570267.575150106,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,7581040.140615391,0.08333333333333333
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,7591359.788973404,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,7607772.581608242,0.08333333333333333
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,7607772.581608242,0.08333333333333333
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,7610644.248051593,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,7616396.623586722,0.16666666666666666
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,7633659.281346002,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,7653114.13442275,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,7674554.82930566,0.0
