左手拉住了李左车,0,左手拉住了李左车，
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,4777780.943887083,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,4804121.682080746,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,4812028.853524085,1.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,4817121.317316311,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,4825356.910458408,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,4838029.77868644,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,4847209.393364153,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,4871327.7071633795,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,4879973.75078382,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,4953248.628942268,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,4971763.954369963,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,4975130.586806707,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,4975934.898906533,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,4987751.720941889,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,5023747.6446500635,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5038128.613476948,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,5043750.118344057,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,5056510.33632331,0.125
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5063638.083087416,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,5070483.764302219,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,5075853.659412755,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,5087448.063898218,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,5090909.663620949,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,5108207.263406837,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,5115875.96596975,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,5121607.482544662,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,5123174.623502048,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,5128839.658517012,0.0
