娘想儿来泪双流,14,娘想儿来泪双流。
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5488002.7182277525,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,5489207.689549076,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,5507113.819225784,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,5534880.450995835,0.14285714285714285
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,5596325.64660907,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,5605688.440103468,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,5623459.477070255,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,5637001.975651722,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,5641980.809614004,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,5693321.906023991,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5715534.325802141,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,5718093.153436346,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,5739351.089286692,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,5761112.269429832,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,5771203.084759814,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,5783646.555778307,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,5790975.8118195925,0.2857142857142857
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,5804310.087712859,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,5807170.417671542,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,5818589.916413819,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,5835571.013758263,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,5836189.623636186,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,5842066.426391555,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,5845405.700154486,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5867857.098272331,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,5870133.514216706,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,5874274.275179708,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,5877883.301150391,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,5888093.804053265,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,5911593.004918492,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,5919662.823361502,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,5926877.559328154,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,5934929.201747786,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5969078.014947013,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,6008259.555669015,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,6046668.158612589,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6047245.461229541,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,6068583.4215855915,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,6074916.256704605,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,6084752.500561822,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,6099343.0048381565,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,6100036.846350139,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,6107841.696737035,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,6114899.852744965,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,6136267.565332753,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,6142981.863256699,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6157513.037392443,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,6166649.684742507,0.14285714285714285
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,6169641.165341761,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,6205738.087470754,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6216452.38914022,0.0
