因此上发配到登洲,0,因此上发配到登州。
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,2750043.1926462958,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,2753653.6832576934,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,2807116.251758127,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,2814692.5852657957,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,2819369.7196637294,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,2825112.296021633,0.125
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,2865243.717160099,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,2881413.017488876,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,2901802.1713398304,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,2904275.017403272,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,2909815.423451772,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,2934944.9441933064,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,2985941.248111565,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,2989496.1581329466,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,3007926.7621809565,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,3013331.40673923,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,3020946.5053663794,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,3030793.6246658047,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,3036714.2002120716,0.25
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,3037930.8310508076,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,3053692.321857893,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,3066265.210930727,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,3124755.0986684123,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,3134470.008573446,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,3135509.4088641093,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,3156057.852176854,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,3168538.688885278,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,3180483.900037188,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,3193652.163038855,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,3280600.8370648082,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,3299493.518080997,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,3300657.0667635077,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,3307118.6535760164,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,3308208.1355769234,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,3333592.642702561,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,3359667.2465416715,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,3369761.547794768,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,3370918.296404557,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,3370918.296404557,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,3392091.04339138,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,3401349.2855247473,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,3410671.303857885,0.125
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,3414103.2059597718,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,3431829.5304369377,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,3461138.5835790476,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,3468837.683161257,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,3484074.138717276,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,3505608.4724314115,0.0
