实难舍街坊四邻与我的 好朋友,0,实难舍街坊四邻与我的好朋友，
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,4948492.006534089,0.07142857142857142
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,4950258.098272242,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,4994481.053473217,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,5002873.048481069,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5002925.536655973,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5010150.447230076,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,5020918.265148218,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5026339.805261647,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,5059738.930555767,0.07142857142857142
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,5070192.472856211,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,5078615.220614591,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,5101088.659716955,0.07142857142857142
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,5101126.469461911,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,5118469.48504207,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,5119395.812364373,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5129447.643369063,0.07142857142857142
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,5132520.932927976,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,5133860.921412931,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,5182833.030441835,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,5200849.503360914,0.07142857142857142
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,5205507.458282936,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5211310.520700449,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,5211611.129544252,0.07142857142857142
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,5243445.578116071,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,5245719.148616998,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,5265381.701719141,0.07142857142857142
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,5268932.923497052,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5290107.529399691,0.07142857142857142
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,5292318.9052316705,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,5298370.688379569,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,5332064.146921147,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,5334433.8544161245,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,5358380.896402668,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,5384319.806671171,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,5387239.476142691,0.07142857142857142
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,5390268.556188412,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,5409818.402952985,0.07142857142857142
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,5419167.515874811,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,5440519.457540283,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,5442435.663005501,0.07142857142857142
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,5478452.471029911,0.0
