啊、生死二字且由他,0,（啊）生死二字（喏）且由他。
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,5794215.839965132,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5814634.402106832,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,5815979.952302102,0.1111111111111111
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,5830917.837513296,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,5855777.320537189,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,5859481.669893909,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,5865629.308309031,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5878167.239628735,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5886066.769824048,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,5904996.53575953,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5910640.4867350655,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,5917435.821016547,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,5951068.979555379,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6009271.528369062,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,6020331.821771729,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,6053389.612850511,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,6089207.211272568,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6145169.177134831,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6173186.62686904,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6186486.437799468,0.1111111111111111
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,6217363.477681658,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6217782.27372026,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,6266831.065575435,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,6282921.587311945,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6283061.15976092,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,6305801.379852977,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,6308814.954670682,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,6313373.291861007,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6314671.328641527,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,6335346.271742601,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,6343460.187166996,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,6363420.81545031,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,6384447.133497291,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,6385368.994566301,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,6390862.392660031,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,6400496.677852322,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6407983.661505402,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,6418913.102908247,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,6485807.161802041,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,6504847.907722957,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,6509594.50366842,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,6539027.284353986,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6549284.647909366,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,6552884.767078299,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6554010.493127212,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6564601.779224044,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,6569481.389859616,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,6569780.428921801,0.0
