二次里命孟良番营来进,1,二次（喏）里命孟良番营来进，
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,10071813.052446788,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,10101470.636979599,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,10102308.184197463,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,10102674.663183872,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,10106843.58351312,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,10118836.022280434,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,10136106.836043816,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,10139205.50647438,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,10145474.228430448,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,10153963.53726975,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,10161449.580139821,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,10162666.28470025,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,10172574.724679198,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,10185018.593320087,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,10212017.425102325,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,10216286.714809889,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,10217658.374148777,0.1
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,10245773.212726275,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,10252279.731554024,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,10269980.55194746,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,10275362.38076845,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,10288007.820787441,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,10291897.027363768,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,10301607.728558699,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,10309370.124290485,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,10324522.049307786,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,10333083.888605688,0.1
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,10341842.498842143,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,10347093.678163612,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,10359733.535724599,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,10377209.339093134,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,10424148.213637885,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,10424448.213634657,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,10430400.029853173,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,10431201.312634649,0.2
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,10446184.660340024,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,10464818.860516693,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,10535979.594483348,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,10539028.218230538,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,10541140.921416504,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,10555001.369756885,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,10556276.895469837,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,10558575.985727247,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,10586638.692124126,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,10619182.591828445,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,10696410.975679351,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,10711799.318009457,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,10725968.327288264,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,10733255.719468268,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,10777704.5697543,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,10778452.445309965,0.1
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,10802896.48142316,0.1
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,10809743.562625809,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,10812328.615394285,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_3,见坟台不见人刀割我心。,10836479.328061178,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,10876525.044336492,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,10896321.75349785,0.1
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,10920898.35097424,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,10964275.400860457,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,10972986.408880068,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,10974266.833021326,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,10977936.20621798,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,10978475.911193315,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,11054114.549291281,0.1
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,11077819.786067069,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,11080453.408483168,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,11084467.323827008,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,11089930.754838357,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,11091114.203943849,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,11105527.568100912,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,11131341.703133894,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,11154111.226686802,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,11173024.898347994,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,11186901.149397777,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,11202151.715203045,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_1,父纳子（呃）妻礼难容，,11216024.54960585,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,11223160.740614539,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,11243095.913181392,0.1
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,11257822.814549835,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,11265891.47388131,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,11290139.923769878,0.1
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,11290764.60114041,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,11292857.548317246,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,11292857.548317246,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,11321941.652726553,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,11360075.26807882,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,11381147.289157555,0.1
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,11384786.777800653,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,11451190.99378894,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,11453176.811184796,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,11479111.90366657,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,11489987.526258146,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,11497191.454264991,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,11518132.711315203,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,11531088.534824999,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,11599883.206301706,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,11609386.7215559,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,11617063.519825155,0.1
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,11617559.786810948,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,11635380.43175025,0.1
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,11645889.674635662,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,11645928.306378292,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,11650679.374258863,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,11670576.42546797,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,11672390.07444173,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,11679628.359754922,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,11685048.043575339,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,11690831.317994144,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,11773048.326725263,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,11780510.955943871,0.1
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,11786903.438715423,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,11789090.340654058,0.1
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,11800716.077778354,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,11804265.808439463,0.1
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,11868552.677038267,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,11878479.215409713,0.1
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,11883020.233295672,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,11898120.48045028,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,11912050.525745943,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,11918651.99329851,0.1
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,11939231.387501061,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,11977103.621382955,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,11991057.020203205,0.1
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,12015768.188012479,0.0
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,12017513.602481887,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,12021300.851395085,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,12042111.4572889,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,12049660.09835123,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,12050939.08697442,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,12073038.219949698,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,12089226.629939249,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,12125042.882919915,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,12135969.244040396,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,12167469.58813364,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,12182683.001380257,0.2
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,12227753.940529095,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,12249002.489793796,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,12250335.071793089,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,12256731.91411792,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,12262428.593986884,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,12277872.801654153,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,12314792.772246439,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,12325902.23761082,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,12336158.147191623,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,12341499.756449744,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,12390504.20150374,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,12395383.220481694,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,12439979.683523737,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,12455758.520880504,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,12488533.373197276,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,12513349.90005744,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,12527195.677822195,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,12541293.945970353,0.1
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,12553029.707911123,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,12591368.51780316,0.1
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,12604843.687278634,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,12607532.11580831,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,12608439.051879896,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,12615750.388875244,0.1
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,12616904.625046289,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,12642986.480639251,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,12662231.670450414,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,12685556.567609917,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,12685869.626008755,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,12689002.020139005,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,12697493.100725418,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,12720563.168065997,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,12725238.482452728,0.1
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,12726685.174509972,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,12730984.060430696,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,12739979.395387901,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,12769557.62932613,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,12771275.779570816,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,12781106.597948657,0.1
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,12794132.990672953,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,12808866.111405235,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,12821232.248123046,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,12823403.694689017,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,12838930.468214277,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,12855834.50994577,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,12856608.062920643,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,12862937.228862474,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,12882436.256307546,0.1
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,12883850.742427772,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,12884045.418839512,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,12913187.107327273,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,12922129.155702965,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,12938698.030266313,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,12948525.653261838,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,12951754.869597312,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,12953523.609251324,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,12980005.845378418,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,12980277.283271117,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,13004351.269831518,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,13017499.79757502,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,13044652.18116329,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,13090341.781308293,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,13090992.815130595,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,13099644.029367823,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,13122462.756524066,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,13126841.883238073,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,13129569.290060239,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,13136498.684438799,0.0
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,13142484.717606869,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,13143898.74021084,0.1
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,13168340.918475078,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,13170177.579611521,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,13196417.674276719,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,13198678.420951672,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,13251024.893030263,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,13251024.893030263,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,13271025.358856041,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,13275829.561644431,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_4,我与那公孙杵臼把计定，,13276562.545817738,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,13276946.476087227,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,13299079.90309977,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,13316334.69740503,0.1
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,13319666.395680657,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,13320892.517142605,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,13325141.758755859,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,13344739.745191704,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,13357723.289704254,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,13373794.22890706,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,13385422.285764387,0.1
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,13403671.867390249,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,13431192.128131678,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,13444111.900562856,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,13447059.595149871,0.1
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,13451903.513569167,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,13468095.14493556,0.1
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,13502923.40480821,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,13505783.825122355,0.1
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,13516111.20197945,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,13517627.854215113,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,13537072.81490339,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,13548782.570068115,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,13567123.758576378,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,13596411.843525028,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,13598133.854067435,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,13610549.515811767,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,13618083.713978482,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_9,不能（呃）哎见。,13632083.862229852,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,13656364.508271722,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,13656364.508271722,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,13657221.2033727,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,13661582.423470218,0.1
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,13661582.423470218,0.1
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,13674104.727165198,0.1
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,13692580.833479298,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,13702143.560237564,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,13714075.284976449,0.1
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,13727076.36200773,0.1
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,13765181.898008145,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,13768152.157020133,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,13803960.01881707,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,13809830.924258757,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,13832652.107231582,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,13834083.368736511,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,13842392.83599464,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,13870955.206165828,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,13884855.900205769,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,13899800.458925063,0.0
