二次里命孟良番营来进,1,二次（喏）里命孟良番营来进，
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,7423762.222643282,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,7462078.058448248,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,7534195.513966186,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,7534685.9576976625,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,7609591.579533103,0.1
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,7647811.352907119,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7674013.672695233,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,7679785.2012791345,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,7687185.379474797,0.1
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,7706480.058628624,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7732204.622149217,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7735876.40743202,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,7748144.496630376,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,7749594.16222778,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,7749932.83254699,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7781663.777077406,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,7849968.828529712,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,7850048.376725246,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,7864566.5578895565,0.0
