实指望到吴国借兵回转,0,实指（惹）望到吴国借兵回转，
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,6977183.544880403,0.0
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,6978756.497237892,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6979606.864156416,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,6988615.3429256845,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,6995620.691605495,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,6996569.680275977,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,6997438.803430092,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,7002078.279171292,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7005057.442813702,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,7007144.366781227,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,7031868.1671478,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,7051592.423072686,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,7064177.8028392615,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,7064512.630480098,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,7065222.443837122,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,7076031.918907524,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,7076981.636162415,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,7102991.094106468,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,7104178.25532947,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,7107237.63259307,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,7108495.28529881,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,7109322.184255325,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,7113630.994237024,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,7113912.886889915,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,7114275.07910157,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,7120961.857696442,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,7121049.335147328,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,7122208.750304534,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,7129502.662547064,0.1
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,7130314.414518142,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,7134504.433002566,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,7137608.356615466,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,7138592.939795228,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,7145203.276450766,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,7146272.602486981,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,7155776.06239928,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7158808.749473173,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,7164049.367361791,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,7180070.215914752,0.1
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,7191851.1712970855,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,7192920.097913228,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7192973.810253868,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,7197826.480559344,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,7205293.869939928,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,7209117.365500681,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,7211991.540094095,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,7219293.318070355,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,7219796.405865452,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,7223944.217209243,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,7226049.883293263,0.1
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7232013.296262964,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,7241545.941840596,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,7241545.941840596,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,7255461.559419674,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,7259901.899238273,0.1
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,7261953.090407759,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,7263958.655390086,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,7281668.996087898,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,7281891.359209812,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,7285945.163822413,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,7289657.638465899,0.1
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,7294108.242580454,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,7298036.725217548,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7310909.1563244,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7316911.391433849,0.1
lseh-TanXiongDi-SangYuanJiZi.xml_3,见坟台不见人刀割我心。,7319934.198839792,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,7339848.33075517,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,7346378.910736242,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,7364728.8013722235,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7368246.795282272,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7368246.795282272,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,7372225.151805138,0.1
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,7378789.793530979,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,7399727.676695297,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,7402246.571449788,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,7418806.432989883,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,7419431.113327744,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,7419800.859884363,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,7422587.511168998,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,7427668.692854471,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,7429481.37653636,0.1
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,7430825.792211642,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7434060.736974457,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,7450446.179835059,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,7463123.1661911905,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,7475712.3327342,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,7478288.6807670295,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7478400.709349467,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,7485816.48529179,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,7492325.924855874,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,7492971.852764802,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,7498789.005062703,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,7502195.252575422,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,7503517.471528839,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,7514018.207477931,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7515954.095176974,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,7517276.329726335,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7524581.674943871,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,7544395.623746581,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,7552402.048320162,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,7555153.4593511615,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,7556034.471857501,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,7589456.744916063,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7589459.729507552,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,7608913.865726011,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,7609695.140865404,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,7612491.822237255,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,7614301.015235545,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,7621258.781673177,0.9
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,7623366.894921993,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7623821.882946561,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,7625458.900745878,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,7637239.375843839,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,7640172.140554779,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,7644417.31676335,0.3
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,7645829.384530176,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,7648938.872615935,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7649231.400258448,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7649997.98911923,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,7657095.771783763,0.1
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,7664773.838209,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,7665137.377472761,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,7666536.558443722,0.1
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,7679841.156410224,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,7689837.141388264,0.1
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,7706342.071551975,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,7707285.412535345,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,7711393.4059364,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,7712059.875957604,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,7712059.875957604,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,7718647.072503516,0.1
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,7719575.266046759,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,7720107.504060361,0.1
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,7721604.8454352915,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,7723236.710956973,0.1
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,7726095.936779032,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,7730253.597526424,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,7735002.565276406,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,7739918.293683654,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7746870.888056512,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,7757362.647427191,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,7765443.5951036345,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,7765586.502340653,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,7768184.2572176205,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,7768184.2572176205,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,7773664.194130321,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,7776171.192074387,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,7779672.534061117,0.1
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,7784942.634143387,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,7786776.071986103,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,7806934.614189178,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,7815152.113616619,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,7827274.263148731,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,7829777.21490098,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,7833932.140332504,0.1
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,7845552.8017316,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,7854599.886180129,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,7860370.8309508385,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,7863472.151769454,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,7868022.7898518415,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,7888787.582182178,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,7889466.900525417,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,7891817.620807458,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7896529.164527363,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,7906827.951231129,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7916347.843554578,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,7924572.427727729,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,7929624.443813148,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,7946697.580189074,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,7948048.34997121,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,7949275.228335621,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,7952029.693811942,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,7952263.568302146,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,7954866.826630827,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,7957397.828957932,0.1
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,7968842.5567114465,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,7973496.978225706,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,7977287.434963377,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,7983327.062063781,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8005172.446958018,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,8011512.292976945,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,8020703.53648727,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,8026285.9185622735,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,8027185.280575576,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,8029421.663115974,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,8033381.926907756,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,8038201.613587753,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,8040422.374627656,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,8050524.13721008,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,8052556.354335613,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,8055858.8360787565,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,8056063.978704438,0.1
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,8056678.862613587,0.1
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8063753.483078158,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_10,屈死的冤鬼魂休要怨咱，,8065992.450004273,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,8066717.962434503,0.0
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,8071643.293018054,0.1
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,8075821.326692613,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,8090029.888142541,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,8097775.581525116,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,8105659.200716273,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,8113056.026019136,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,8113184.0585790435,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8115322.485948022,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,8123226.236429617,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,8125500.5090672,0.0
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,8127284.627302368,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,8128421.676345927,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,8139003.091969856,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,8145517.285420051,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,8146979.706818779,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8147828.691425639,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,8149912.209512644,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,8172945.038254295,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,8176868.420299061,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,8177052.67031491,0.1
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,8177378.8553691795,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,8201003.4836537745,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,8201689.072110461,0.0
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,8204594.63166967,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,8219324.042003555,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,8227709.81106664,0.1
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,8234156.144092103,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,8247984.111693548,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,8253224.696179559,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,8255585.162951803,0.1
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8255830.661057853,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8256308.455722463,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,8265639.943548112,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,8270831.659132882,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,8273246.967746156,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,8281741.887764743,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,8282776.910076715,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_10,屈死的怨鬼魂休要怨（呐）咱，,8288469.093113011,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,8292549.531328703,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,8298121.297769838,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,8313049.080442481,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,8317677.262790878,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,8330960.382707757,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,8333346.894247037,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,8333914.16774405,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,8343921.66779063,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,8348387.664644485,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,8348657.6342034275,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,8351012.755160817,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,8355237.432523246,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,8362855.90755764,0.2
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,8363830.222237566,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,8365421.395893794,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,8366710.821009941,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,8373909.910542918,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,8375884.308078851,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,8381052.573869878,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8388117.479072478,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,8388794.4266868,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,8401897.935436115,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,8402820.29657216,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,8403872.152688295,0.1
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,8409081.51325102,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,8415176.474306334,0.0
