实指望到吴国借兵回转,0,实指（惹）望到吴国借兵回转，
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,5576158.391375576,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,5579366.035675799,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5601398.930254935,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,5611457.0765600605,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,5614912.903113682,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,5634970.303779482,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5647301.067718922,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,5648856.720592538,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,5653977.029088234,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,5656717.133111865,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5683522.714495437,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,5691304.742326403,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,5733813.254301194,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,5746724.346481693,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,5752671.668217599,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,5756203.308230866,0.1
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,5769260.775671848,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,5783266.6485102605,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5784118.084660697,0.0
