我前番命孟良骸骨搬请,1,我前番命孟良骸骨搬（呐）请，
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,7550538.973330164,0.1
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,7555100.766132902,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,7577683.3235417,0.1
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,7606827.798953946,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7607237.441916351,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,7638980.314667903,0.1
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,7647773.11151938,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,7712115.326581646,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7713607.962562266,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,7765732.9441442825,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7795933.777666592,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,7805941.635820588,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7820741.474842573,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7835947.073270367,0.1
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7861091.328036916,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7861302.154861678,0.1
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7865749.4763202835,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,7870926.797260647,0.1
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,7890374.87443703,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,7895527.907554771,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,7899233.835802952,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,7906100.614059936,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,7923921.043698641,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,7935072.398382011,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,7956232.251794826,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7972400.971406533,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7983574.371596671,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8018966.398655657,0.1
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,8024022.440109788,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8026322.587776889,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,8037773.232667765,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,8067431.976828898,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8086254.9018494645,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,8093808.898427013,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,8102277.782182167,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,8123021.1050698375,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8125589.018246391,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,8149214.0755842645,0.1
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,8152908.323256629,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8160365.466691519,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8167316.1512652105,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,8177353.9319045115,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,8192314.172009538,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8203003.886286883,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8207318.284662214,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,8209489.899599276,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,8211511.29704435,0.1
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,8215054.393687005,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8233560.2456619,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8247603.66358335,0.1
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,8249884.928356109,0.2
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,8255908.023342227,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8259992.142893058,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,8268075.02446919,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,8270889.461695747,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8272540.453984749,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,8272857.135124782,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,8273977.732113207,0.1
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,8286231.7348995,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,8296361.455525608,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,8308070.369606988,0.2
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,8346068.565336991,0.1
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8349155.698278778,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,8367338.975544221,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,8367476.306032035,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,8370038.82025136,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,8381462.321511016,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8403016.070644446,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8415195.697430098,0.1
lsxp-HenPingWang-WenZhaoGuan.xml_1,父纳子（呃）妻礼难容，,8424451.49695543,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,8443240.2058439,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,8449650.70290593,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_1,陈宫心中乱如麻。,8460082.203139614,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,8462101.819706317,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,8486971.070636591,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,8501069.663200688,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,8510829.312449036,0.1
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,8530638.133834997,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,8537034.948548375,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,8538951.66458673,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,8540512.08614208,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,8545836.112111943,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,8549228.100220399,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,8551325.497359224,0.1
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,8555749.12031373,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,8557560.04701309,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,8569645.529895488,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,8578771.867562005,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,8579389.253482584,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,8580125.459874276,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,8591332.568660142,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8597605.040985217,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8598159.974023731,0.1
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,8598395.72187049,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,8612253.543234657,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,8615750.540164324,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,8632303.425283553,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,8634496.69632988,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,8640305.706912689,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,8657431.47543867,0.2
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8679979.416882519,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,8687495.790334923,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,8696117.993741827,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,8699908.745858822,0.1
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,8700261.385723386,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,8708623.722812813,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,8709149.501869353,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,8713563.214274649,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8719201.997874605,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,8744591.796994418,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,8747000.572499353,0.1
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8749923.588637913,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,8750919.432651263,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,8755943.443960607,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,8757970.274919413,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,8766504.035212226,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,8768667.33580136,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_17,汉室后来贼是个惹祸的根芽。,8770243.32100804,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,8782218.052513655,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,8784569.933065087,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,8792620.748196203,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,8821230.579194847,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,8826693.41721777,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,8831626.598817395,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8834137.848825846,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,8844122.601183183,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,8864143.892213494,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,8869889.832112812,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,8872471.564662268,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,8880992.459207492,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,8895970.50716764,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,8897737.299919121,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,8903708.1647263,0.1
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,8924425.361610666,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,8926319.135980891,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,8931571.27507371,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,8936523.08207151,0.1
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8940132.24963514,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8942185.439424474,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,8953356.598650135,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,8960696.700941375,0.1
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8970453.313596888,0.1
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,8978943.21412941,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,8982413.467420977,0.1
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,8988559.471816966,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,9002877.652981786,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,9005030.15769895,0.1
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,9007335.163594991,0.1
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,9015507.226181787,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,9017084.943353152,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,9040229.915470991,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,9059577.412777793,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,9071463.737694023,0.1
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,9073179.427227696,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,9081768.79830765,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9096089.117290476,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,9102994.599485384,0.1
lsxp-JianMaSu-ZhanMaSu.xml_0,见马谡（唩）跪帐下，,9106936.665255245,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,9118581.442529507,0.1
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,9123746.771163506,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,9142300.1225139,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,9148083.65258218,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,9148315.265117731,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,9150407.243128154,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9151977.560623847,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_8,俺伍员好一似丧家犬，,9162826.020750733,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,9181090.817930566,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,9190321.536724107,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,9193761.599561047,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,9194477.226925194,0.1
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,9212125.768318707,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,9216619.01907702,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,9222387.684323609,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,9223200.991796305,0.1
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,9224106.934664363,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,9239911.890524626,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_3,见坟台不见人刀割我心。,9247203.020308293,0.1
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,9250697.763704525,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,9253576.723223725,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,9253703.98223969,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,9255131.488782417,0.1
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,9262362.334449552,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,9266746.103727642,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9268694.104443768,0.1
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,9271203.399063276,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9281057.67150611,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,9289508.960331907,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,9293168.626725266,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,9293170.841305282,0.1
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,9295028.4252983,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,9298639.899509832,0.1
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,9317409.094035786,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,9317901.537972001,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,9323443.6370431,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,9323443.6370431,0.0
lsxp-ZheYiFeng-DingJunShan.xml_0,这一封（呃）书信来得巧，,9333786.76189061,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,9339157.490964685,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9349473.208454823,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,9355038.976753253,0.1
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,9357747.236577759,0.2
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,9361749.35942202,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,9368261.618386704,0.0
