我好比鱼儿吞了钩线,0,我好（呃）比鱼儿吞了钩线，
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,7306730.2080843365,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_8,俺伍员好一似丧家犬，,7317498.056246217,0.1111111111111111
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,7317820.020926732,0.2222222222222222
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7320702.656442179,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7332483.97082899,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7342359.307891607,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,7351452.884543117,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,7353015.291980877,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,7395391.769655657,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,7395982.328877099,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,7431434.965442571,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7475496.0628955895,0.1111111111111111
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7482411.708067912,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,7492117.053894405,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,7619768.024201387,0.3333333333333333
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,7637642.991323971,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,7651520.589412752,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_10,屈死的冤鬼魂休要怨咱，,7660004.640910122,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7661101.37553863,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,7664291.06422135,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7683751.005370146,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,7716014.973917871,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,7731493.427233876,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7739763.387609725,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7747742.536990266,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,7755143.085100037,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7755813.316756518,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,7776100.9691591,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,7822990.454782272,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,7849446.984538312,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7850766.725611369,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,7872389.115425975,0.0
