诸葛亮怎比得前辈的先生,22,俺诸（喏）葛怎比得前辈呀的先哪生。
lsxp-WoBenShi-KongChengJi-2.xml_7,我诸葛怎比得前辈（呃）的先（呃）生。,8571126.312370943,0.9090909090909091
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,8572884.137965985,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,8631190.298989128,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_10,屈死的怨鬼魂休要怨（呐）咱，,8655654.870523697,0.09090909090909091
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,8661002.54766393,0.09090909090909091
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,8671434.654266175,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8677746.452022964,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,8737043.439988654,0.09090909090909091
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8768847.986441474,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,8769555.913141489,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,8772827.557777256,0.09090909090909091
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,8777561.581390107,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8794435.278775832,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8820297.119351124,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8838690.75969015,0.09090909090909091
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8914865.116915883,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8921349.34937858,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,8923550.709521845,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,8933300.629463201,0.09090909090909091
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8934003.052903647,0.09090909090909091
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,8942118.16877266,0.09090909090909091
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,8964057.971813546,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,9044455.862505512,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9075388.841035247,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,9080455.558889104,0.09090909090909091
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9084540.178690897,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,9125805.603520785,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,9161410.771342618,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,9197784.32097803,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,9204653.26901332,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,9231226.420054436,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,9262623.956894698,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,9269054.808692856,0.09090909090909091
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,9287430.94710632,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,9312943.082111599,0.18181818181818182
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,9314506.04754151,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,9343705.72368935,0.09090909090909091
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9348394.565148538,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9366517.782146689,0.09090909090909091
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,9369304.955865854,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,9377242.437328953,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,9378349.111481264,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,9428309.577557582,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,9436823.728660969,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9462997.17012733,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,9477704.258911518,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,9478964.07711254,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,9526118.73431645,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,9529086.306877898,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9529683.488250693,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,9585373.64164702,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,9601471.297645004,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,9601611.429426601,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,9618395.558603177,0.18181818181818182
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,9636307.032759009,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,9637079.737311475,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,9650845.112447329,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,9656953.145357842,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,9663214.491158076,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,9666086.63949046,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,9667633.71932793,0.09090909090909091
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,9679187.81824208,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,9687498.918668905,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,9694744.2100429,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,9709146.967486063,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,9730614.928545995,0.0
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,9752835.98493596,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,9788091.52810786,0.18181818181818182
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,9801289.1965173,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,9809985.578191645,0.0
