三人同把那鬼门关上爬,855,三人同把那鬼门关上爬，
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,9857825.127788698,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,9873143.801140158,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,9895387.36202155,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,9922604.064731799,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,9925514.917966587,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,9960912.343004586,0.1
lsxp-TingTaYan-ZhuoFangCao-1.xml_3,却原（呐）来贼是个无（哇）义（呀）的冤家！,9964432.084005492,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_3,却愿（呐）来贼是个无（哇）义（呀）的冤家！,9964432.084005492,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,9964535.429305155,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,9995053.520435361,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,10000785.018774625,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,10034046.325862894,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,10041570.418127501,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,10041638.444363415,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,10046775.480049178,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,10049447.448943835,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,10065986.322303751,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,10069218.769396799,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,10102669.99890217,0.2
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,10109039.758779021,0.1
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,10110261.100869149,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,10114973.553805955,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,10121922.23474503,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,10123237.290090498,0.1
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,10126142.178754322,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,10133294.619702507,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,10157004.584452277,0.1
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,10175341.801058194,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,10175541.55537815,0.2
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,10186675.26979777,0.1
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,10214581.617233768,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,10221294.96956622,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,10222425.600539124,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,10227543.856862837,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,10228764.617813632,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,10242804.755598467,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,10258561.233490415,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,10264637.269117974,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,10277639.397907639,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,10279040.596352952,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,10281505.173097523,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,10292256.931787308,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,10304897.690695165,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,10320382.960665254,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,10342822.987971162,0.1
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,10376649.904680341,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,10379065.730436722,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,10379819.05358624,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,10407962.286211707,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,10412274.62772335,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,10445682.400112053,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,10445682.400112053,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,10458836.20561945,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,10483802.670861939,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,10508687.5191273,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,10509389.607115675,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,10509389.607115675,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,10552060.799206495,0.1
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,10554097.936372295,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,10554525.465102917,0.0
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,10567995.94377531,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,10591058.973928595,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,10618199.821337797,0.1
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,10623984.179686248,0.1
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,10627705.190417388,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,10629894.403063562,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,10644348.735928735,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,10655415.821842877,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,10676811.613427293,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,10694175.648926105,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,10713826.576586118,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,10722410.631633544,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,10752509.146752737,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,10756149.19280995,0.2
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,10757357.087164778,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,10785236.655017544,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,10796577.013453014,0.1
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,10818696.411225919,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,10819226.090696413,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,10828661.236041376,0.0
lsxp-WoBenShi-KongChengJi-1.xml_4,官封到武乡侯哇执掌帅印，,10828959.739405157,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,10829824.318459295,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,10832521.147975286,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,10863983.83397859,0.1
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,10889428.733227788,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,10895632.615438152,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,10899849.700487854,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,10930274.167220421,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,10931191.17453209,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,11020334.417414408,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,11022188.223011376,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,11023596.14447995,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,11042263.049821366,0.1
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,11057342.477512859,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,11057830.788673133,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,11107887.375844546,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,11117510.21419197,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,11151874.927000761,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,11177636.756543016,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,11189372.133477546,0.2
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,11191996.451491136,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,11196627.811647816,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,11209805.696562704,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,11226094.296894535,0.2
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,11241826.312576389,0.1
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,11256919.40963667,0.1
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,11296949.148234993,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,11349203.455054864,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,11352689.106178787,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,11360638.428791469,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,11401850.96131984,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,11429438.535566423,0.2
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,11444519.202391028,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,11446306.924480688,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,11447696.68257135,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,11459686.942761932,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,11463038.566034293,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,11486679.083270488,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,11499596.298264269,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,11503445.088171016,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,11519255.123201864,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,11536052.526364751,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,11537047.974065335,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,11547326.83500305,0.1
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,11603077.379191376,0.1
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,11610768.233326549,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,11632719.597906023,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,11660990.949918577,0.1
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,11673722.390116815,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,11699663.848310148,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,11711015.639573708,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,11713495.37118423,0.2
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,11720593.589982022,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,11730720.030024773,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,11736509.173114175,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,11743697.46724579,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,11753301.089796964,0.1
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,11754769.14729565,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,11768425.841227664,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,11780063.614238242,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,11793385.957275636,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,11802474.114388367,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,11809429.947489968,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,11867024.321532141,0.0
lsxp-ZheYiFeng-DingJunShan.xml_4,头通（呃）鼓紧战袍，,11879099.128847783,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,11902331.692365814,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,11903737.962625146,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,11937536.486915817,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,11947473.73313735,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,11956231.12070092,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,11958690.638464952,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,11975303.393355615,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_4,我与那公孙杵臼把计定，,11981698.415796803,0.2
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,11990048.070773853,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,11999115.23793472,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,12014079.094813501,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,12016060.581625313,0.1
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,12020157.043095555,0.1
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,12026167.236065658,0.0
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,12031847.220157064,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,12044785.705895351,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,12080332.284596894,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,12120543.521076562,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,12122287.083166063,0.1
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,12147591.207879182,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,12184765.15428005,0.1
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,12200207.939151105,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,12247166.55574856,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,12248467.664551508,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,12257853.823729958,0.1
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,12268173.39667761,0.1
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,12284549.60141932,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,12287235.417675514,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,12294298.514122361,0.0
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,12297050.70376738,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,12303487.731379867,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,12307609.362722255,0.1
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,12334719.19984193,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,12348565.198076108,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,12349848.00568569,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,12359504.301805576,0.1
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,12360584.398522532,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,12361972.318397686,0.1
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,12364801.450342758,0.1
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,12384718.549718823,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,12389630.461145598,0.1
lseh-WeiKaiYan-RangXuZhou.xml_4,望使君放开怀慨然（呐）应（呐）允，,12399471.823313337,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,12404079.480370075,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,12420606.953063263,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,12434318.556691641,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,12445003.74423257,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,12450507.442086386,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,12466864.03828559,0.1
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,12477453.68829002,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,12477471.267248487,0.1
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,12485276.571957111,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,12489551.405805904,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,12489551.405805904,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,12494307.333093992,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,12519036.0975688,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,12529098.344473386,0.2
lseh-XinZhongYou-WenZhaoGuan.xml_16,我冷冷清清向谁言（呃）。,12535717.156510143,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,12537799.706043484,0.1
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,12544943.46447832,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,12545255.208762307,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,12558803.95236326,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,12562202.62767123,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,12576009.78835226,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,12581959.320637492,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,12589118.599581454,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,12594437.563625148,0.0
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,12602870.820584046,0.1
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,12629047.506365042,0.1
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,12635312.739739649,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,12643095.231258212,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,12669496.435321322,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,12700691.62330622,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,12707808.924308604,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,12807137.341403563,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,12855625.856854673,0.1
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,12872382.161004389,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,12880996.133326342,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,12887957.05834672,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,12906025.038195394,0.0
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,12934027.223773886,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,12957242.742852854,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,12965605.978920579,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_15,今夜晚怎能够盼到明天。,12989020.276103891,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,12991203.19105997,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,12993882.954691788,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_32,我冷冷清清向谁言（哪）。,13004645.280461706,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,13012540.11963191,0.1
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,13029107.80265004,0.1
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,13041182.688283382,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,13069753.164514905,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,13077715.695889436,0.1
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,13077715.695889436,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,13087119.273814563,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,13088215.075405523,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,13111047.246157028,0.1
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,13132465.354458053,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,13160158.78017011,0.1
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,13163539.33295161,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,13165355.004354412,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_25,不能（哪）哎见爹娘（兀）！,13167985.548046721,0.0
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,13198625.361614957,0.1
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,13210201.226491554,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,13255125.510989297,0.1
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,13270509.749537112,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,13294962.287737105,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,13299903.596187886,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,13325984.18337448,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,13377661.35452647,0.0
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,13422352.477436773,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,13423382.395165937,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,13431223.069566637,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,13464736.291478066,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,13477727.335468829,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,13493823.438158082,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,13517198.170203993,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,13527631.55063843,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,13572628.130785674,0.0
