三人同把那鬼门关上爬,855,三人同把那鬼门关上爬，
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,7195532.279315945,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,7209069.868838714,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,7216583.802480276,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,7218171.949623337,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,7246008.491082423,0.0
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,7249812.86984417,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,7279065.332318417,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,7279154.588054066,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7289535.538398919,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,7292026.26280564,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,7359763.9049288025,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7364862.177119906,0.3
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,7392162.557015771,0.1
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7394664.464789545,0.3
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,7400565.102272678,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,7409536.484257755,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7415880.335642295,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,7429265.67888345,0.1
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7435352.365287488,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7436632.815498045,0.1
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,7492906.260627685,0.1
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,7497725.440732865,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,7501534.565966633,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,7505998.0302119795,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,7506897.62860614,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,7515045.425518139,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,7522799.7463937085,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,7532080.141664311,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,7532080.141664311,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,7543005.630167378,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7559171.154026504,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,7567709.470705877,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,7577812.127585295,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_17,我本当拔宝剑自寻短见，,7579668.56530377,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,7624950.612067431,0.0
lsxp-ZouYingLong-DaYanSong.xml_9,那一旁坐的就是严阁老，,7641714.97665184,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,7647711.147040816,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,7651416.0547421845,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,7659770.930452049,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,7676313.208487852,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,7681304.822786981,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,7718440.132184778,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,7718613.56791866,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,7736946.530185889,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,7743673.268166442,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,7744479.864017978,0.1
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,7747900.539671527,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,7753622.453356019,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,7765553.751306437,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,7771843.729532107,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,7775820.549898682,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7778561.497221958,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,7788217.497358382,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,7794173.056399097,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,7813762.547714093,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,7836779.45777046,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,7863435.916630726,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,7864359.739746307,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7875454.297883418,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,7882307.989249914,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,7909682.372654392,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,7918403.504938458,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,7918403.504938458,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,7928527.059879231,0.1
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,7957907.562761616,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,7960105.177308669,0.2
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,7965772.083307595,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,7969609.021622783,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,7988173.351626332,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,8016662.772963895,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8016793.374457753,0.1
lsxp-WoBenShi-KongChengJi-1.xml_2,先帝呀爷下南阳御呀驾三请，,8068894.865276299,0.1
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,8081798.571664168,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,8087500.915036458,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,8093419.729014704,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,8102211.923317666,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,8119698.379887499,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,8119979.275035141,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,8132501.004371178,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,8179519.044250544,0.1
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,8191504.670463334,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,8211133.224229259,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,8238347.105682969,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,8309498.658053349,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,8309498.658053349,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,8317319.875954308,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,8317347.550174131,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8327253.451842239,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,8372423.549262542,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,8379106.937117675,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,8390257.664303068,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,8418072.82329884,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,8447689.30784309,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,8461516.340530764,0.1
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8473317.609230734,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8477753.204196976,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8500559.119195607,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8511914.043124506,0.2
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,8530696.686023133,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,8535475.360835329,0.1
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,8550657.058220213,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,8590055.142602457,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,8599504.14821264,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,8606406.907781495,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8606436.777386429,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,8619973.756371323,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,8635832.988477878,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,8636290.276468638,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,8646298.629053202,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,8651640.251601042,0.1
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,8653205.29461632,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,8653205.29461632,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,8660057.747617353,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,8661339.635889897,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,8684445.337803885,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,8698372.397320673,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,8702991.724766059,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,8758498.101271458,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,8765156.242965547,0.1
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,8783629.09775675,0.1
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,8786057.583567431,0.0
