叫一声解差把店投,8,叫一声解差把店役。
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,3724902.2976575186,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,3750160.024558113,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,3755504.581794727,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,3760056.592108415,0.125
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,3765596.4143776563,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,3766187.5203725435,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,3788331.2669400345,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,3811735.9183996753,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,3819621.0923130815,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,3838140.6150477165,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,3850393.760302557,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,3851111.25895516,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,3891111.144583381,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,3894879.1393760922,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,3906148.336097746,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,3916425.155107969,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,3929894.052338897,0.125
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,3944208.46640539,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,3959021.093354912,0.125
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,3991795.940074357,0.125
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,4003391.6966231796,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,4009753.38008346,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,4014899.811850816,0.25
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,4019477.7721499926,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,4021216.8703359193,0.125
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,4041970.0485078827,0.125
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,4045700.5535161844,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,4048040.585686983,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4066931.1738940584,0.125
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,4071044.45246939,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,4072606.8566516056,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,4075404.177967605,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4075703.2649038704,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,4079917.6695826435,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,4080504.533007329,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,4083602.1363948155,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,4087506.9346069293,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,4093349.3910246463,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,4096871.5734677897,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4101541.3832702795,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,4103834.5074319798,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,4122321.912393954,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,4123322.7856942997,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,4123620.8923449074,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,4132623.087781813,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,4135104.583761491,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,4151098.811902076,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,4157997.7783641526,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,4170822.76068066,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,4180315.477478663,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,4187475.7262181193,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,4193197.699432082,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,4222187.664860584,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,4224165.386460191,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,4247874.929968357,0.125
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,4252777.289489432,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,4256313.048252171,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,4260126.360366715,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4282503.998700561,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,4297134.830945549,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,4325118.839696211,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,4326202.409927954,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,4333312.731136071,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,4337945.872103288,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,4338925.62439409,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,4338925.62439409,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,4346115.643085153,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,4355869.908723921,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,4369685.045269007,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,4380217.419527554,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,4386647.7791330265,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,4387566.106607214,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,4388448.75257381,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,4388448.75257381,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,4399276.651253694,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,4404056.577999896,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,4413122.976769159,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,4432333.583394426,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,4469012.322738227,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,4470041.955354844,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,4535152.374707413,0.125
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,4550648.82093369,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,4552304.670098156,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,4556272.021256137,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,4557507.06092398,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,4572594.675480719,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,4573689.549329975,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,4585672.524332511,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,4600710.753424215,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,4604115.468156763,0.0
