耳听歌笙闹喧哗,0,耳听笙歌闹喧哗。
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,5466871.662109419,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,5472599.267942998,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,5499951.809862719,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,5538633.578954772,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,5584621.398298655,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,5591738.067233728,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,5601196.304379483,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,5624890.968124107,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,5640023.112712957,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,5656811.378661501,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,5662586.553582768,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,5662955.817719429,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,5668419.3098064875,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,5676621.224122734,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,5681193.739205903,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,5695392.893760741,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,5709383.797853613,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,5714465.874353045,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,5725095.320814046,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,5728481.012484415,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,5729866.607324924,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,5731916.012846011,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,5737190.37075612,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5756484.714573016,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5756560.255535332,0.0
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,5757823.9892333625,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,5760936.528357476,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,5766632.002923841,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,5782358.497151189,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,5802443.565910994,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,5818309.972363358,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,5822623.687598968,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,5831309.744544469,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5842978.938662747,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,5851674.360248837,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,5860569.124175922,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,5861163.638037833,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,5868818.652851539,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,5869297.850624573,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,5874474.292732917,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,5884554.531609847,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,5888320.3060138095,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,5903126.095351139,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,5903173.373989104,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,5907226.482567031,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,5922613.709019265,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,5953492.230852395,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,5959262.157619598,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,5962255.626086389,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,5991207.893202112,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,5992562.540070129,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,6001105.526619486,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,6004146.749336036,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,6021036.053144098,0.0
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,6023187.03618689,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,6030755.730344155,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,6045281.277352842,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6059670.802736679,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6063490.38994961,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6067319.998563688,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,6093367.842392203,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,6101940.711156775,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,6103290.564945846,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,6107620.897483395,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,6111485.85869802,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,6117287.129471747,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,6123476.319868381,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,6145488.255191477,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,6145864.712499775,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,6148767.615629063,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,6154189.921612041,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,6159745.61278684,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,6165158.9942324925,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,6166988.710089255,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,6171230.7797031915,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,6172169.385727199,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,6197420.063887842,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,6200595.495230931,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6223884.56929726,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6225961.884053635,0.2857142857142857
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,6258400.641922606,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,6259176.366530432,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_2,为（呀）儿（啼）女我也曾朝山拜庙，,6263132.917818837,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6264362.411459368,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,6280340.918368707,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,6291204.846082266,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,6297637.301491817,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6306333.83516625,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,6309148.393863567,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,6345120.821391443,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,6352935.7919856515,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,6359372.285281841,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,6359939.318067616,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6361440.925947636,0.0
