二不是歹人把城偷,0,二不是歹人（呐）把城偷。
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,4667100.214231845,0.125
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,4667214.637187517,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4673255.388913641,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,4682025.749023227,0.125
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,4691193.354644373,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,4727192.261360481,0.125
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,4731794.187831017,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4745543.281403882,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,4782170.543168456,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,4796985.263370428,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,4821551.419965044,0.25
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,4832870.366147762,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,4896864.947706795,0.125
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,4925187.89067277,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,4939744.461962838,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,4946782.277769151,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,4961607.656886288,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,5001163.346841336,0.125
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,5007810.076589559,0.125
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,5015411.948935856,0.25
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,5065868.578510323,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,5072313.677904637,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,5086477.093306172,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,5096387.50087574,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,5098533.58507268,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,5099912.431882141,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,5130960.68662323,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,5140704.841290438,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,5143994.59346381,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,5146910.026123627,0.25
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,5160351.797250919,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5186373.193368552,0.125
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,5190933.949166696,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,5193937.170898403,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5195795.022664348,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,5204226.335546919,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,5206953.191747789,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,5218028.474952019,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,5238171.710195089,0.125
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,5247622.060448959,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,5253190.439541514,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5257320.499936126,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,5262229.456209969,0.125
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,5284691.462996168,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5297134.049765879,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5297555.285089378,0.125
