娘生儿，连心肉,0,娘生儿连心肉，
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,7220228.033856515,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,7226813.148587189,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,7287974.668070188,0.2857142857142857
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,7308172.806904465,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,7422065.0744842235,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,7425478.379490128,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,7537333.552251868,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7658580.924896249,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,7692607.485263141,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,7699271.391692467,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,7712188.223730612,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,7712402.49924848,0.2857142857142857
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,7719478.72807952,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,7753647.926427927,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,7760120.466114819,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,7795465.944107668,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7912057.788748119,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,7931291.208700626,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,7946953.031299146,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,7981724.503601155,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,7988661.1882791715,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,8055012.678287234,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,8095755.017760314,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,8097875.210306035,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,8128386.044128424,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8162963.132323034,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,8167200.962148356,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,8220010.981158104,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8245915.452695748,0.2857142857142857
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,8312890.283402866,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,8410240.000670476,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8441410.942094795,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,8446681.369293727,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,8454448.413568472,0.14285714285714285
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,8459816.72600956,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,8474797.34537039,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8484552.293709666,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,8559398.740239456,0.14285714285714285
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,8571945.891629813,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,8581252.76152682,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,8642818.081571508,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,8662638.663127609,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,8694886.805574162,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8714867.226772621,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,8735350.761337321,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,8757260.917820007,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,8780042.105350843,0.2857142857142857
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,8825709.916820899,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,8838233.651220562,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,8960559.202687401,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,9034326.84599738,0.14285714285714285
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,9047554.715786012,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,9132822.404016342,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,9156600.256043494,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,9157449.147295162,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9187833.661856499,0.2857142857142857
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,9194783.438624179,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,9210522.765730392,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,9212597.381949635,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,9240294.311352167,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,9311865.974675275,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,9325727.784444133,0.2857142857142857
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9349899.66192482,0.14285714285714285
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,9361615.893445628,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,9389252.061510429,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,9392797.854676632,0.14285714285714285
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,9396469.781116985,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,9443066.252936928,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,9443098.149366936,0.14285714285714285
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,9443583.147411523,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9489992.938499635,0.2857142857142857
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,9491217.052900799,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,9534566.46347118,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,9551117.634875061,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,9621479.818473995,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,9645068.841010498,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,9675990.150832063,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,9701815.994301394,0.2857142857142857
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,9752587.421988538,0.2857142857142857
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9773549.44629205,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,9803450.428568974,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,9803751.927415334,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,9877735.778638836,0.2857142857142857
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,9911351.428612163,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9919750.554574259,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,9930306.969470508,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,9957047.849753415,0.2857142857142857
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,9983628.308388,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,10003954.015943656,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,10003954.015943656,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,10007586.515599817,0.14285714285714285
lsxp-ZhangGongDao-ZhuangYuanPu.xml_3,为儿（喏）女我也曾补路修桥。,10033322.73361831,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,10045513.501102535,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,10066689.203568075,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,10115315.805856658,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,10115923.897499533,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,10197683.480330892,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,10198089.603816915,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,10203429.567807203,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,10236070.404837642,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,10273133.908212876,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,10305466.765962062,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,10312462.188736958,0.14285714285714285
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,10348447.090249322,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,10349300.028659357,0.2857142857142857
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10404484.901567364,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,10419340.072676765,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,10461514.321727928,0.14285714285714285
