儿想娘亲难叩首,0,儿想娘亲难叩首，
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,5148161.657852103,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,5156846.065533289,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,5174384.542954839,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,5218635.721200206,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5231798.816682349,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,5240731.012653303,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,5257412.58369995,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,5277430.2451233985,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,5308916.390784494,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5339622.702366141,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,5445323.853130012,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,5445323.853130012,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,5449599.290376641,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5450309.255008342,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,5519133.144370464,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,5529109.987062619,0.14285714285714285
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,5535291.271037154,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,5539040.6796940705,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,5540530.971522219,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,5545072.4456166215,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,5556178.52627256,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,5560126.329741317,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,5587898.68366373,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,5588840.417721045,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,5588847.756383992,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,5598225.319884156,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,5627458.36044603,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,5664416.827278429,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,5698824.922061793,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,5804899.97057745,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,5870291.4558836445,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,5888051.646138969,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,5892946.068764347,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,5910096.704725364,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,5915658.1766706295,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,5942778.764566891,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,5972548.475091288,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,5990123.822492907,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,6014821.416005118,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,6053360.550445139,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6065074.972464965,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,6078915.403357458,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,6102557.995147414,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,6109352.3106093,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,6122331.694790158,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,6122915.771719678,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6124787.1705767615,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,6136962.766407228,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,6151445.734580891,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,6156675.209739228,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,6175973.267673786,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,6183431.715199313,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,6207033.769015017,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,6251409.03691131,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,6254882.821557465,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,6278359.111346369,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,6298329.85609499,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,6321759.198232229,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,6324874.812191213,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,6339465.0022589285,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6348751.5075207185,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,6355184.358080899,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,6366850.75771011,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6389017.456596948,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,6438531.449205335,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,6444317.2000544695,0.0
