右手再把栾布拉,0,右手再把栾布拉。
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,5118629.461910077,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5146189.39368599,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,5175864.066445564,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,5178842.535225609,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,5185155.759161768,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,5189452.481153293,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5200198.571671554,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5200198.571671554,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,5267237.300468642,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,5270680.765664012,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,5289862.790108612,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,5291546.635622435,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,5366619.793463265,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,5369346.986029693,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,5384245.159215268,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,5387831.160342832,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,5388974.382562741,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,5411540.422899256,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_3,为儿（喏）女我也曾补路修桥。,5421486.1223928975,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,5454716.052135514,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,5472089.195278174,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,5552906.207896778,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,5575391.289030818,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,5585598.972075279,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,5633836.240802439,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,5636279.643148814,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,5691737.44895738,0.14285714285714285
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,5707344.375748553,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,5722520.677280132,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,5758787.132147378,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,5766583.804381205,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,5767007.530072831,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,5820425.4684075955,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,5820776.976734023,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5826556.958059152,0.14285714285714285
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,5845039.447390579,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,5854927.2435280485,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,5874186.475819969,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,5874186.475819969,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,5877885.743050114,0.0
