深宫无处不飞花,24,深宫无（哇）处不飞花，
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,3618357.500794424,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,3618357.500794424,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,3618411.23020438,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,3623623.583561152,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,3653332.9375063046,0.14285714285714285
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,3656154.854221194,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,3662363.3138118717,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,3667281.2064591483,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,3693185.3664852814,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,3705522.22538308,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,3720585.606745605,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,3721988.136892755,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,3754021.3189508864,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,3754050.4294389505,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,3761456.0062279287,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,3770318.868131539,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,3811335.1683722856,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,3816576.9484503237,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,3825572.956082771,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,3834215.7245369386,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,3845248.939884708,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,3845398.415602232,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,3873229.850461225,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,3883011.0797317717,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,3884229.825100992,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,3884474.985356947,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,3913262.8000982036,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,3914687.852282019,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,3922944.966490312,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,3927222.251946921,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,3934074.1661625495,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,3939650.08842263,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,3940173.788188798,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,3962122.4712344045,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,4005943.3872856926,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,4028035.8363906336,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4028241.1529517113,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,4029823.4183060373,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,4035781.4968537143,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,4048046.686311619,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,4053612.697399207,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,4072900.411214105,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,4081133.7641024594,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4111895.404326713,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,4132323.6649539894,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,4136132.057886414,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,4140691.8909981563,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,4146476.1602104027,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,4146494.42330178,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,4150244.0302097406,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,4158132.571596857,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,4163998.06872328,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,4178872.5056681917,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,4178872.5056681917,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,4183537.1896232236,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,4186764.2410671213,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,4200583.709417039,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,4220101.618925383,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,4228007.742964147,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,4248969.37150354,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,4252226.457922758,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,4254692.171900633,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,4263931.166431729,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,4277799.080121979,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,4287311.541825876,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,4290689.378053661,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,4312813.531852155,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,4316514.519982682,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,4333294.500023489,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,4340328.191214431,0.0
