是响马并贼寇,110,一不是响马与贼寇，
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,12944986.035994327,0.16666666666666666
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,12976760.776357813,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,12982220.396433808,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,13003262.857045848,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,13042300.327817367,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,13093903.022632064,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,13123162.484121785,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,13131411.565349707,0.16666666666666666
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,13166187.702021927,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,13170396.685382793,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,13197726.856843112,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,13224558.685617425,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,13239855.566201767,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,13251496.758022109,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,13257126.896295192,0.16666666666666666
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,13311238.213678738,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,13315155.931156738,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,13327235.553756386,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,13337030.565053988,0.16666666666666666
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,13347800.05376074,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,13453572.129353324,0.16666666666666666
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,13481368.300223276,0.16666666666666666
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,13527615.209047168,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,13596390.644479346,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,13615935.988893507,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,13631073.269938475,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,13631073.269938475,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,13633200.986856163,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,13658937.596125053,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,13766189.863124387,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,13822084.700007403,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,13832965.57609364,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,13869844.804177282,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,13885906.378957057,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,13901596.15117257,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,13945787.278677445,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,13986486.417571057,0.16666666666666666
lseh-YiLunMing-WenZhaoGuan-2.xml_8,俺伍员好一似丧家犬，,14036252.468906943,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,14047689.73813424,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,14100856.451425442,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,14110183.923706986,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,14133114.596741242,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,14178791.075531475,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,14180542.122179767,0.16666666666666666
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,14193316.634408023,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,14193539.11190063,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,14200513.52056713,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,14204149.583603607,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,14278051.326765938,0.16666666666666666
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,14283590.680567114,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,14284923.793316294,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,14316023.722229782,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,14361822.032527369,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,14386549.29549458,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,14396904.170519412,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,14402260.775569983,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,14407939.371497996,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,14474473.696982188,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,14489229.748433793,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,14522541.12731788,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,14547437.723488186,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,14559007.588926913,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,14563755.026387801,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,14565096.711129945,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,14568169.036247902,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,14584189.596542437,0.0
lseh-JinZhongXiang-ShangTianTai.xml_4,内侍臣忙摆驾九龙口进，,14586529.67317032,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,14594887.546872612,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,14601663.495856043,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,14625495.803847691,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,14635165.975783266,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,14637211.660567647,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,14644048.600486223,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,14645312.845955173,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,14659475.872838428,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,14675663.691540156,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,14680415.087658107,0.0
lsxp-ZouYingLong-DaYanSong.xml_9,那一旁坐的就是严阁老，,14690666.981966954,0.16666666666666666
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,14721815.570981594,0.0
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,14760316.07338284,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,14796583.660052173,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,14820697.049359867,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,14867337.659888932,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,14875531.768654391,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,14889551.439511081,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,14914528.15892294,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,14941888.383361865,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,14941888.383361865,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,14950693.191110402,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,14960080.787249584,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,14974814.522997953,0.16666666666666666
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,14990774.368302912,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_1,卑（呀）人言来你是（喏）听。,15000213.885130305,0.16666666666666666
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,15004266.325525824,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,15004984.111596143,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,15048833.591126472,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,15061745.844001573,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,15115116.479647057,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_10,屈死的冤鬼魂休要怨咱，,15131271.88931318,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,15131637.217509072,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,15132986.28807043,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,15148518.296014484,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,15166489.66081395,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,15169955.272625728,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,15196978.565220976,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,15240173.415905315,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,15247098.23884657,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,15264820.167125104,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,15270337.86872828,0.16666666666666666
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,15322498.532496527,0.16666666666666666
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,15326737.786518617,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,15347738.63166397,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,15358650.318744484,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,15401062.919807175,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,15430734.90718435,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,15441371.750864994,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,15470555.74275039,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,15524227.19965791,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,15572666.615475388,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,15607664.627468614,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,15636840.643018944,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,15660188.623028839,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,15712605.46195155,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,15713305.510326242,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,15718325.203478029,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,15752918.444985548,0.16666666666666666
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,15755325.806176348,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,15758298.083793905,0.0
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,15789423.566454157,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,15847490.69638285,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,15892688.745925555,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,15912442.713437242,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,15916051.345499562,0.16666666666666666
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,15928287.039559904,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,15928424.72072453,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,15968284.70246705,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,15979851.242848843,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,15993709.14666433,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,16024254.13726763,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,16039734.434402358,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,16052146.894029183,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,16090428.99510027,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,16121438.488309484,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,16137235.263436213,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,16162737.314916648,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,16165533.324985527,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,16190489.78448841,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,16203365.104714118,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,16205609.867680524,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,16218962.438599266,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,16222900.116795441,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,16278490.003745982,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,16396679.439972935,0.16666666666666666
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,16451440.030902296,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,16459621.117326064,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,16483245.245324224,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,16490893.025791232,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,16559046.609227499,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,16589363.171834908,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,16657916.63655808,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,16694838.583877979,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,16701116.571561733,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,16744078.164403237,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,16744285.317805136,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,16748952.002743293,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,16759679.009336594,0.3333333333333333
lsxp-JianMaSu-ZhanMaSu.xml_0,见马谡（唩）跪帐下，,16828401.98215752,0.16666666666666666
lseh-YiLunMing-ZhuoFangSuDian.xml_10,屈死的怨鬼魂休要怨（呐）咱，,16862330.0987872,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,16867915.82382482,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,16907584.642124392,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,16935946.67390911,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,16968209.91194062,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,16982393.422438055,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,17024971.461937904,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,17030728.15572001,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,17032562.07775598,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,17103638.981856804,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,17104194.12950178,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,17104476.10868654,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,17139279.447906833,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,17145099.810807142,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,17153763.608381845,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,17184993.55078247,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,17190267.196431518,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,17229319.246851742,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,17242699.879125655,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,17255336.513926495,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,17255964.910768982,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,17256382.226573795,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,17265923.354920525,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,17271216.204020195,0.16666666666666666
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,17298418.059572857,0.16666666666666666
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,17335566.274885245,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,17387678.455304272,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,17409254.86957284,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,17434205.469747383,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,17513195.051063254,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,17513195.051063254,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,17532262.37493255,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,17628322.580808613,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,17648258.05127454,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,17648552.779306438,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,17650045.016000655,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,17651326.357849956,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,17681685.949619483,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,17694668.249381322,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,17696544.380702756,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,17712550.031435277,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,17718957.322906934,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,17731286.074386384,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,17821957.022182804,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,17894083.185075145,0.16666666666666666
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,17924429.99957009,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,17962321.44954937,0.0
lsxp-ZheYiFeng-DingJunShan.xml_0,这一封（呃）书信来得巧，,18001342.712793436,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,18023422.842683803,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,18129481.795805614,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,18129481.795805614,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,18164006.40497905,0.16666666666666666
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,18186444.41236511,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,18193655.674208865,0.16666666666666666
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,18229115.700460244,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,18264436.652944926,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,18278298.90712352,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,18283840.396233518,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,18303156.829318848,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,18333291.928997498,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,18347779.883383844,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,18371607.480507318,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,18447293.22876083,0.0
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,18465428.47176292,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,18470591.821524415,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,18473961.62705222,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,18485542.335081287,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,18555431.04862597,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,18589301.39899777,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,18646056.43386953,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,18646860.94255507,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,18646860.94255507,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,18650739.626664154,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,18689340.444587372,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,18716160.312450334,0.16666666666666666
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,18718681.52447905,0.16666666666666666
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,18756081.93146085,0.16666666666666666
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,18818152.601526253,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,18819555.286963437,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,18829751.93553004,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,18848591.300452575,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,18877579.534307852,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,18879397.157843627,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,18909128.585480765,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,18935033.38991407,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,18947890.86290981,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,18947890.86290981,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,18967242.666631866,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,18968722.392432645,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,19003661.77813334,0.16666666666666666
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,19004016.509625115,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,19031344.585882876,0.16666666666666666
