是响马并贼寇,110,一不是响马与贼寇，
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,7152029.473404752,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,7175109.284082896,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7237860.203663185,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,7303895.342065212,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,7316011.512708018,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,7394733.797654721,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,7428761.384385206,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7555418.745397428,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,7606338.025316466,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,7641175.766868265,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7694773.152658822,0.16666666666666666
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,7703580.8777034525,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,7708595.013919773,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,7755002.119326519,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,7758072.516125234,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,7775434.073522614,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,7844205.911172155,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,7847900.402126329,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,7854419.5695405295,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7886258.390688223,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,7978468.741313255,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,8049012.864751495,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8067610.38371648,0.16666666666666666
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8159409.443596906,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,8204873.326852455,0.16666666666666666
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,8238290.510274468,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,8245134.712600785,0.16666666666666666
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,8283422.217227337,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,8327233.015396399,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,8343421.615601,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,8477284.697782947,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,8496365.637875792,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,8543661.441576004,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,8548763.615675403,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,8563787.858558234,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8619934.51034177,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,8621704.534530433,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8631414.664394107,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,8654172.997678062,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,8702728.335381184,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,8746123.650999933,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,8751167.796098402,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,8767037.805448614,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,8801450.512624186,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,8807239.8059192,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,8813819.44571183,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,8841287.426163455,0.16666666666666666
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,8852998.408026423,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,8856630.300578771,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,8909182.9962642,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,8921664.46180715,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,8929933.29954675,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,8994861.318558753,0.8333333333333334
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,9044970.899774052,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,9045957.80541946,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,9047011.334508335,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,9089104.286214788,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,9168486.629462203,0.16666666666666666
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,9174220.181139937,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,9174883.487130616,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,9218588.879205547,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,9221733.949260866,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,9349024.537133167,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,9372144.560628414,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,9391252.90378604,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,9406865.03993376,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,9412540.163647104,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,9444114.961420635,0.16666666666666666
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,9501793.117625238,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,9635906.523774914,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,9687360.120972136,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,9694637.832045434,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,9710270.304708604,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,9722679.29012207,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,9744784.21255749,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,9763527.768039824,0.16666666666666666
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,9776170.011769207,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,9838275.390155867,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,9850039.231249196,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,9857668.374161823,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,9884940.682846848,0.0
