舍不得老娘白了头,0,舍不得老娘（呃）白了头。
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,4628811.343274878,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4721807.858839995,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,4742661.840094822,0.25
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,4754563.625983019,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,4754771.779672054,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,4761331.0534088295,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,4790815.219858849,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,4809397.744034087,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,4819638.386182531,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,4830288.079398716,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,4851654.7699876735,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,4875713.26264768,0.125
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,4878644.344136635,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,4926387.483890256,0.25
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,4943289.951626736,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,4999800.967820135,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,5000831.197115732,0.125
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,5017675.402935069,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5034332.685609312,0.125
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,5044978.176138916,0.125
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,5055466.526806173,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,5069881.822552449,0.25
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,5072231.137370148,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5079714.396222803,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,5097859.145175823,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,5117803.2818600545,0.125
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,5155201.664355532,0.125
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,5162721.396888847,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,5167575.293404705,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,5173632.945978584,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,5178256.742041181,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,5183812.4501595795,0.125
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5191225.8808273375,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,5195179.177676607,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,5222359.592121727,0.125
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,5236055.108851015,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,5279496.6145714875,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,5280476.986527855,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,5300341.821602652,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,5303625.389243567,0.125
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,5332771.371124218,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,5334075.541786188,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,5374032.609889798,0.125
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,5389628.796932844,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5420188.428214433,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,5422503.095750442,0.125
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,5478031.742120424,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,5491306.023592528,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5500232.89130135,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5503144.85490054,0.125
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5518095.56477661,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5518095.56477661,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,5520993.223846018,0.125
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,5533589.751827338,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,5568616.955489609,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5569725.264719889,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,5584558.823593978,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,5586827.324726129,0.125
