儿行千里母担忧,0,儿行千里母担忧。
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,4571189.272971005,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,4595005.150639449,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,4602693.123437456,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,4622477.3124064235,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,4623793.099923789,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,4653109.6798971705,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,4747609.861554123,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,4754380.425499522,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,4775329.7418549815,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,4800762.625247845,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_1,父纳子（呃）妻礼难容，,4805666.677418399,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,4849292.844610325,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,4849999.529859794,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,4910367.471905699,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,4917265.480035736,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,4931823.221869828,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,4961577.337940233,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,4969560.261233303,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,4977635.591979996,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,4989826.139339705,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,5014469.181383868,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,5035027.7315462185,0.0
lsxp-JianMaSu-ZhanMaSu.xml_0,见马谡（唩）跪帐下，,5043341.258606106,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,5058277.641270316,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,5065220.100784912,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,5097097.1024506455,0.14285714285714285
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,5129267.324662194,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,5137097.6747834375,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,5143633.065119178,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,5150995.302494037,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,5167466.94285756,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,5172340.750183107,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,5201468.622319665,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5220348.838331878,0.14285714285714285
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,5252627.517485444,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,5266511.699878811,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5271851.3649323415,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,5288829.3138879845,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,5321701.838222792,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,5325895.10994904,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,5331351.473230441,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,5345776.91050732,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,5381364.429274305,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,5422484.9538216675,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,5440535.8425999805,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,5443388.010754524,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,5451855.035922128,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5472441.002715819,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,5473074.616193882,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,5507844.193316876,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5513212.231708853,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,5514967.138841784,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,5521330.182604693,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,5548885.609254565,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,5555692.7329020975,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,5560262.47049467,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5565690.925985391,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,5566391.119721152,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,5567787.334271199,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,5594929.07853435,0.0
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,5615368.027494062,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,5621937.720490845,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,5636072.734766028,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,5648879.986396836,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,5685278.638511163,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,5714373.3227480445,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5727002.104674664,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,5751532.4682912305,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5752652.466606994,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5757495.508744085,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,5760253.619094515,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,5778558.663491478,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,5791050.481183856,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,5804824.641962279,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5806762.626648033,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5806762.626648033,0.14285714285714285
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,5849746.239073099,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,5853336.506596471,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,5855591.141921214,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,5863167.621462402,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,5880931.384708725,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,5895043.35469522,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,5907191.668669446,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,5939628.224547894,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,5961747.02340472,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,5967029.7325423835,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,5978748.76872277,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,5985115.54424446,0.0
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,5998146.372837509,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,6020100.282921803,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,6028839.698177802,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,6041097.135793601,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,6124030.192027188,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6138168.037180118,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,6163780.302874808,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6171894.921662225,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,6183558.808283251,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6184329.230607025,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6228099.673865079,0.2857142857142857
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,6234120.754619988,0.0
