又谁知焦克明他私自后跟,11,又谁知焦克明他私（呀）自后跟（呐），
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,8738406.62774886,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,8905141.856937818,0.09090909090909091
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,8933262.789724272,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,8941451.167575834,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,9013597.589346355,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,9037932.797074806,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,9051708.533328632,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,9074711.856190737,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,9101324.269559659,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,9110823.191464452,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,9116029.833264496,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,9120074.304049473,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,9214711.137712434,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,9240969.78947809,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,9267289.359079158,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,9304046.579976724,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,9304046.579976724,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,9307810.434219468,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,9340386.199620219,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,9349589.72323108,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,9417177.29904296,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,9465266.460959736,0.2727272727272727
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,9506145.792554986,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,9614614.677547146,0.09090909090909091
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,9640155.020672102,0.0
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,9659802.689257596,0.0
