我好比波浪中失舵的舟船,0,我好（哇）比波浪中失舵的舟船（哪）。
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,5390091.9129930725,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,5392419.13555678,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,5405098.904810917,0.09090909090909091
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,5408575.599786766,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,5418758.638081243,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,5420981.332031323,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,5421253.301657227,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,5422375.854582724,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,5444625.313602065,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,5465844.729993774,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,5475960.810980757,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,5496887.551205591,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,5500563.237348945,0.09090909090909091
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,5511615.030641962,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,5512185.156953061,0.09090909090909091
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,5540604.974788076,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5543821.083958521,0.09090909090909091
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,5552847.802484065,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,5557177.705534372,0.09090909090909091
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5565314.593457108,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,5567236.0093836915,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,5578916.887070824,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,5597161.899347802,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,5618034.013265027,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5620047.926522864,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,5629634.036682214,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5634778.960440994,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,5640928.603512347,0.18181818181818182
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,5673652.599239269,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,5678180.104606949,0.09090909090909091
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,5678621.448438723,0.09090909090909091
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,5684990.095152779,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,5708887.263250665,0.09090909090909091
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,5711084.105157642,0.09090909090909091
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,5725224.895560846,0.09090909090909091
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,5733765.521016689,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,5740760.055641261,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,5754365.602614961,0.09090909090909091
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,5754365.602614961,0.09090909090909091
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,5757618.723623557,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,5766283.6088285595,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,5778847.812657211,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,5778847.812657211,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,5781691.768186618,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5793868.924838885,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5793868.924838885,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5796893.303038256,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,5798157.249302297,0.09090909090909091
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,5800384.262185848,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,5821239.16579478,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,5825598.752773963,0.09090909090909091
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,5831486.439697487,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,5833072.225353609,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5839428.127871577,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,5846854.550940612,0.18181818181818182
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,5846854.550940612,0.18181818181818182
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,5849383.357083916,0.18181818181818182
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,5882278.514733225,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,5900931.611073434,0.09090909090909091
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,5902469.851113497,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,5907231.044880555,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,5911782.309818395,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,5919588.924084118,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,5923661.268995126,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,5932349.670676348,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,5940652.719867812,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5945837.493088842,0.09090909090909091
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,5949999.557952425,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,5957841.720782452,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,5970514.005357099,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5974806.003125725,0.0
