舍不得老娘白了头,0,舍不得老娘（呃）白了头。
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,5594955.939595425,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,5599704.089854765,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5608423.884732862,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5617982.895384033,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,5632403.263225694,0.25
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,5681709.242266975,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,5701735.891168147,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,5717359.4274403695,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,5782721.7501841085,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,5829575.585124982,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,5862687.223832951,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,5925315.184721568,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,5957852.841297809,0.25
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,5958671.37526135,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,5963884.2908137245,0.125
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,5984200.193016389,0.125
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,5999898.730585405,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6001013.045199307,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,6020226.49512219,0.125
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6021013.127421935,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,6037515.11822669,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,6057871.955550468,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,6061238.46440717,0.125
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,6082309.507874767,0.125
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,6131639.087756693,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,6143322.782267785,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,6168956.801532117,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,6168956.801532117,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,6172964.63178991,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,6198473.16638509,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,6232189.952760616,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,6280614.073644721,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,6286599.306000368,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,6295906.071985031,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,6304266.149664549,0.125
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,6312175.731175985,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,6317753.183637481,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6323555.180237207,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,6324170.407469417,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,6427219.79547713,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,6435580.234431389,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,6438539.606857675,0.25
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,6468017.934359989,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6469908.688102672,0.125
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,6475387.886249102,0.125
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,6515304.370976334,0.125
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,6519134.610639531,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,6523520.8818707755,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,6535104.090493066,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,6543779.712602385,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,6559978.186147752,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,6563399.368620108,0.25
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,6564644.598584946,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6583863.356751907,0.125
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,6589912.460833642,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,6601781.884047788,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,6650342.189214699,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6660226.338609213,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6687158.186734344,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6694655.264740948,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,6709364.743236975,0.25
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6710786.986022551,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,6725289.925621189,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,6740843.935220134,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,6752098.99234798,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,6752098.99234798,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6759851.057398677,0.125
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,6779846.849681128,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6789940.190014766,0.125
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,6835190.632364787,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,6836363.845600079,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6855369.080728054,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,6886067.944807316,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,6887182.880744368,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6908379.626548868,0.125
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6921483.9501526095,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,6942248.235176249,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,6950282.500414481,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,6959696.304077204,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,6965300.544852308,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,6990721.967349085,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,6990859.2423173,0.125
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,7026895.2373526525,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,7031655.865334467,0.25
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,7036237.362364768,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,7040221.637665701,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7042993.223427955,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,7044562.8113968335,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,7046715.215041547,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,7049690.247045827,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,7074797.489114369,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,7089212.505495021,0.125
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,7093334.943980397,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,7100057.68749572,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7105021.595634757,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7110368.616366427,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7116779.424797987,0.125
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,7122933.264981404,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,7136933.063093852,0.0
