眼见得红日坠落在西山后,1,眼见得红日坠落在西山后，
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,6407588.0778867975,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,6415761.443091642,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,6422917.451640266,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6452262.037492956,0.09090909090909091
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6466561.862878823,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,6477241.262775407,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6506349.657631914,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,6552540.989165171,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,6569158.363877363,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,6602893.629294658,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,6625946.18077411,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,6736210.182106954,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,6747330.072958371,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,6769510.443157191,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,6783761.255201569,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,6797666.613312552,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6806512.282239977,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6809429.0243169805,0.09090909090909091
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,6815128.691133334,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6826688.75416252,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,6845180.102329239,0.09090909090909091
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,6873044.113243019,0.0
