将身儿来至在大街口,0,将身儿来至在大街口，
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,5518806.245444873,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,5535852.853650206,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,5555754.257945636,0.6666666666666666
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,5597360.491804648,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5598431.437114616,0.2222222222222222
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,5601377.866149087,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,5603428.030648812,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,5608563.25389215,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5639764.622061288,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5645147.289186162,0.1111111111111111
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,5645527.722031357,0.1111111111111111
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,5736748.914885096,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,5809903.325933003,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5845909.750943,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,5889183.113875602,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,5923934.952106441,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,5957747.704037415,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,5957954.083732638,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,5957954.083732638,0.1111111111111111
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,5960703.835343847,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,5964262.241025324,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,5977625.8570906175,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,5979075.345739618,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,5980777.515027234,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5988458.412698526,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,6005729.025445506,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,6053549.867139013,0.2222222222222222
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,6136843.573903856,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6187855.357634952,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,6194771.670291408,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,6226530.085924237,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,6246657.666046121,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6266539.198748532,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,6268736.081501693,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,6285700.016378757,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6334398.352095169,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6357412.192270881,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,6366629.729570111,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,6434281.811489627,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,6463806.047574413,0.0
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,6477599.895015578,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,6497697.608063681,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,6498047.241294846,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,6554166.686842289,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,6570576.5131805735,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6590979.471095145,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,6593981.389774029,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,6712173.459848605,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6766988.543412415,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,6772242.998250772,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,6796201.058428072,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,6801377.637805417,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,6805581.320788419,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,6810307.811769788,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6812677.783775831,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,6823250.2523738,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6853155.746603743,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,6861570.308146449,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,6874227.574910212,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,6884398.883410957,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,6903474.444994981,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,6906679.3317721505,0.1111111111111111
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,6941670.795147532,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6941803.746843573,0.1111111111111111
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,6976495.929047665,0.1111111111111111
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,6976512.382628591,0.1111111111111111
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6986441.858251044,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,6988950.896323015,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,6994555.29073601,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,7094952.406488828,0.1111111111111111
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,7109358.463046955,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,7109840.978502719,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,7110230.316937508,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,7113340.8367129015,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,7137637.547152626,0.1111111111111111
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,7141813.548499994,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,7144001.644272802,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,7144195.486460846,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,7145018.702521344,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,7152681.457868783,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,7177559.881297544,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,7192195.236551805,0.1111111111111111
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,7196744.835590112,0.1111111111111111
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,7199838.490805812,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7204930.048949922,0.5555555555555556
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,7219620.876350539,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,7243184.454724994,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,7251249.859735,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,7260956.777898608,0.1111111111111111
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,7268779.878945392,0.1111111111111111
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,7268779.878945392,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,7271101.935770948,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,7281174.296387356,0.1111111111111111
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,7281174.296387356,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,7292189.794719186,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,7298554.169520169,0.1111111111111111
