俺伍员好一似丧家犬,0,俺伍员好一似丧家犬，
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,7458301.0326841455,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,7463788.903161718,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,7545092.2921452345,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,7546041.105025472,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,7570626.810130758,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,7592676.185710018,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,7640547.927167039,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,7654393.111974124,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,7658181.444121468,0.3333333333333333
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,7686210.282075066,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,7714148.071045132,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,7716977.166611365,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,7720738.751104161,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,7729283.790918894,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,7741802.6188700795,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7746136.590855069,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,7750931.312407076,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,7775122.151691843,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,7801070.774702072,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,7810096.603004573,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,7810096.603004573,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,7814992.710015539,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7842603.822220015,0.1111111111111111
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,7880919.55379059,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,7887320.218277233,0.0
