为国家哪何曾半日闲空,1,为国家哪何曾半日闲空，
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,4681056.872258518,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,4682616.573054533,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,4704952.676187374,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,4715213.616489039,0.1
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,4738182.884134407,0.1
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,4741679.874055233,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,4753985.439256476,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,4758531.758476313,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,4770012.034931912,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,4791697.581717645,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,4792721.805095722,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,4817275.417911887,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,4833988.072448424,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,4839459.030674247,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,4920106.087038184,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,4926491.21103665,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,4970979.51222501,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,4976884.886041552,0.1
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,4984926.68821412,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,5007427.698394903,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,5012005.7933512,0.1
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,5015986.784730978,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,5037634.093448895,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,5076865.334804642,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,5085221.157614298,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,5093597.961659775,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,5115387.309333966,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,5177310.755944928,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,5177748.919239871,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_1,愁人心（哪）中似箭穿。,5194906.862685436,0.1
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,5195680.049611868,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,5197492.864147266,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,5198260.77570651,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,5223291.056316984,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,5265886.370052389,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,5282912.987610306,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,5309552.044842704,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,5318866.436101402,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,5319122.528884074,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5340531.509023607,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5340531.509023607,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,5345814.067848357,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,5350605.738583625,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,5380187.205843018,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,5418134.668645783,0.1
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,5419015.308894926,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_15,今夜晚怎能够盼到明天。,5430859.335182391,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,5433084.236413874,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5452772.886870316,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,5470199.5917933285,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,5517332.108159464,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,5521531.881729937,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,5555184.824914809,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,5557722.314981763,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5574998.283335364,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,5576860.962084141,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,5610541.649362612,0.2
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,5611879.885000154,0.0
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,5612030.803871246,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,5624057.073188758,0.0
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,5673391.721127754,0.1
lsxp-DaHeYi-SiLangTanMu.xml_24,你是番邦什么人？,5680290.72573761,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,5680481.591972605,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,5695779.081750548,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,5695779.081750548,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,5713740.739086157,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5732046.15793747,0.1
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,5735741.372600007,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,5743709.90310851,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,5763229.04410143,0.0
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,5768129.027230882,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,5789338.578909392,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5793452.422910875,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,5807459.102999373,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,5813920.43148166,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,5822153.205186071,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5834394.342207771,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,5840125.102296755,0.1
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,5843353.089840264,0.2
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,5852195.862906487,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5859300.704930709,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,5865228.623727043,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,5872002.742823821,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,5875470.59105198,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,5896027.425491537,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,5907597.226952818,0.1
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,5932005.0636752965,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,5943546.76201193,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,5947318.11690445,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,5976096.855667878,0.1
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5992388.718765122,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,6006293.012050462,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6021293.822664571,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,6024708.162108906,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,6056053.888895163,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,6057905.836290742,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,6059849.054474502,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6061462.433446828,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_3,却原（呐）来贼是个无（哇）义（呀）的冤家！,6099726.367449026,0.1
lsxp-TingTaYan-ZhuoFangCao-2.xml_3,却愿（呐）来贼是个无（哇）义（呀）的冤家！,6099726.367449026,0.1
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6111558.94056433,0.0
lseh-XiRiLi-BaoLianDeng.xml_2,都只为孤（哇）竹君身染重病（哪），,6168499.240830536,0.2
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6184473.55862228,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,6192162.94818953,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,6219481.591542187,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,6232133.301540859,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6232202.399824762,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,6236477.272604215,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,6237546.190431723,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6260183.404298598,0.1
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,6291211.447493706,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,6291923.54783057,0.1
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,6293342.455029349,0.2
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,6313854.853216426,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,6321744.679655925,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,6329056.813909879,0.2
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,6351248.037594123,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,6353299.782097681,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,6370428.556110923,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6371960.367107,0.1
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,6374588.648620595,0.0
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,6382510.348418236,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,6392705.971365884,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,6408004.524337449,0.1
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,6419596.815950437,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,6419596.815950437,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6428579.675472523,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,6445981.654202819,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,6455580.80909873,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,6460390.3288662555,0.1
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,6489339.571490107,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,6491325.061741434,0.1
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6502984.355155468,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,6507668.748373295,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,6509939.159262312,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,6519647.896768329,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,6589606.177146532,0.0
lsxp-DaHeYi-SiLangTanMu.xml_16,我是你四哥回宋营。,6611302.047443662,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,6611879.934788716,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,6623240.691428357,0.1
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,6645380.5182265,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,6645729.766238137,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,6651234.546119919,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6656695.02227845,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,6697799.412499869,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,6745492.709983058,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,6749517.209080252,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,6753208.642860921,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,6753807.64939621,0.1
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,6757318.626387584,0.1
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6758778.270530622,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,6777148.639269446,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,6777280.475716285,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,6789117.8828044245,0.2
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,6823893.949731084,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6839721.909003613,0.1
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,6858234.657412896,0.0
lsxp-YiShiWu-YuCangJian.xml_6,他害我满门（呐）真悲惨，,6863524.760930407,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,6868476.426274831,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,6882964.22578015,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,6899297.034695467,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6905808.63981647,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,6912719.995902194,0.0
lsxp-WoBenShi-KongChengJi-1.xml_4,官封到武乡侯哇执掌帅印，,6925043.718804293,0.0
