一连几天我的眉不展,0,一连几天我的眉不（哇）展，
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,8108877.2410681425,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,8193815.733889463,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8236091.088458169,0.2222222222222222
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,8238367.497031682,0.1111111111111111
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,8238367.497031682,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,8251022.9055773895,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,8260177.113867062,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8288608.363121949,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,8341945.362511685,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,8342409.589925059,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,8349997.323518042,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,8349997.323518042,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,8368619.926509465,0.1111111111111111
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,8382280.294960635,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,8394051.488491334,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,8398750.434090607,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,8411248.970582321,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,8426324.206605202,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8471148.52658585,0.1111111111111111
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,8472341.206770943,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,8477577.837870592,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,8478439.471412132,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,8479434.203021709,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,8495159.608012011,0.2222222222222222
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,8501827.918470422,0.0
lseh-JinZhongXiang-ShangTianTai.xml_4,内侍臣忙摆驾九龙口进，,8530374.86476354,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,8530384.797085717,0.1111111111111111
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,8546689.209149374,0.2222222222222222
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,8564604.814917777,0.3333333333333333
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,8582355.768235011,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,8614602.937384047,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,8625371.929211281,0.1111111111111111
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,8647768.776266083,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,8701407.850741757,0.2222222222222222
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,8703208.630717203,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8717890.979976723,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,8723804.689552926,0.1111111111111111
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,8734595.424331166,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8758026.470988298,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,8765802.200278303,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,8785184.775881588,0.2222222222222222
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,8788908.017523905,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,8790553.539751267,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,8801082.620720603,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,8814115.002869658,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8820676.003321659,0.2222222222222222
