尊一声过往宾朋听从头,0,尊一声过往的宾朋听从头：
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,3871703.440308147,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,3881860.155610877,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,3895273.9223048845,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,3915237.8857405237,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,3920919.326740591,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,3922217.4052168922,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,3922362.435696949,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,3922937.8984734816,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,3925290.7357110144,0.1
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,3925969.5800231253,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,3939455.209632677,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,3955042.5494399625,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,3958912.641002602,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,3959062.746095687,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,3981371.1250772798,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,3986125.066063706,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,3988782.3657999,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,4006105.088520361,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,4029756.5832088143,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,4035163.6867346675,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,4051352.2640733654,0.2
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,4068393.4300252055,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,4087458.854253983,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,4087850.264877344,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,4093650.5048507485,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,4100539.2279634983,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,4137198.941927098,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,4140477.39064121,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,4141819.172611437,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,4159738.7346288925,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,4161061.2958092103,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,4175113.578326325,0.1
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,4178615.60765076,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,4191709.833271425,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,4199320.478798944,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,4223583.3695740225,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,4223968.477994787,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,4225778.249660743,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,4243297.975764146,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,4273517.169731946,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,4275594.804195466,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,4288463.667311815,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,4290206.635283578,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,4293497.570133072,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,4293516.130247383,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,4294434.298356134,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,4296575.199530711,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,4316376.1471738145,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,4340447.023805874,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,4355397.301674828,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,4364509.122271769,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,4373879.848672482,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,4380779.469632446,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,4396574.536396205,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,4428114.804430018,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,4443434.519614749,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,4444676.392713575,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,4447621.0451648105,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,4455187.96295091,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,4456108.197369818,0.1
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,4479451.129403607,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,4479483.941930442,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,4487213.828531743,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,4494290.084460039,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,4500422.972495291,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,4501087.399566288,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,4517903.217286761,0.1
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,4520247.540567138,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,4520247.540567138,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,4537821.391355662,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,4540895.479976822,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,4548962.585127663,0.2
