三更时想起了年迈爹尊,0,三更时梦（呃）见（呐）了年迈爹尊（呐）。
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,9130750.922230052,0.1
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,9173472.147890095,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,9176066.031117355,0.1
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,9207832.748620555,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,9254277.93041717,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,9267117.552680297,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,9281654.55613147,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,9304637.02741521,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,9312366.013413068,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,9321244.312547266,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,9340711.50503781,0.2
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9349255.915692393,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,9358283.617071826,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,9377593.18722666,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,9386768.688353911,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,9387197.767798912,0.1
lsxp-WoBenShi-KongChengJi-1.xml_2,先帝呀爷下南阳御呀驾三请，,9455789.416069567,0.1
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,9471634.723648004,0.1
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,9488359.236714553,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,9545610.30547284,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,9575346.881497819,0.0
