三更时想起了年迈爹尊,0,三更时梦（呃）见（呐）了年迈爹尊（呐）。
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,11899710.435234228,0.2
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,11905477.716450477,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,11908416.469754558,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,11913542.572154514,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_3,却原（呐）来贼是个无（哇）义（呀）的冤家！,11915150.704095813,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_3,却愿（呐）来贼是个无（哇）义（呀）的冤家！,11915150.704095813,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,11916281.418158624,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,11919061.789471138,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,11919061.789471138,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,11947918.342073234,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,11954103.890091974,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,11954614.247053668,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,11981169.075304296,0.1
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,11997155.379583156,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,12003855.932403715,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,12006143.68123755,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,12013427.721869366,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,12017187.913163928,0.1
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,12019060.977422204,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,12036141.37558476,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,12100612.842051445,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,12124811.816480257,0.0
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,12131880.212635897,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,12132269.606729629,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,12137807.53090736,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,12140973.714111328,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,12150596.97459101,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,12185883.702542827,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,12205146.508242387,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,12220644.371730685,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,12231912.641097056,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,12231912.641097056,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,12263140.278333552,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,12267598.462381072,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,12275699.817113986,0.3
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,12282425.262847286,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_25,不能（哪）哎见爹娘（兀）！,12284882.51990827,0.1
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,12287128.620938642,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,12295859.795705562,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,12309940.742712924,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,12318075.347113553,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,12346869.391605016,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,12353339.995436726,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,12360460.910659656,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,12367726.146119207,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,12371354.556838997,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,12374118.103333782,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,12378365.65417136,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,12379667.27179672,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,12379700.642067377,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,12381833.408473637,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,12392526.468014508,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,12400347.505202172,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,12403766.238824002,0.1
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,12409355.948220199,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,12410023.458720108,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,12411868.832527654,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,12424117.204085197,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,12425431.933413398,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,12443828.507991865,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,12456929.04446259,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,12471742.579725316,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,12497927.020153206,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,12540269.909181561,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,12543672.329181636,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,12549364.707719285,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,12551297.966342071,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,12553141.498813871,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,12578809.13888163,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,12595481.551575959,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,12604325.16396996,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,12609833.032529743,0.1
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,12618122.835329492,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,12631282.376681251,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,12646152.277753022,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,12648691.386490112,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,12661419.910355415,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,12662282.018031428,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,12670419.188492553,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,12670471.310847307,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,12673217.609366603,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,12685458.00075032,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,12689002.159544261,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,12691218.257623238,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,12695624.728876775,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,12698108.773886716,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,12719886.5305589,0.1
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,12724467.387624994,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,12725627.24503204,0.0
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,12733306.051580206,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,12733395.429300496,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,12733556.272864567,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,12749206.473023871,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,12752715.437666332,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,12781520.89164549,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,12787765.800451282,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,12800600.096725361,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,12805291.81457111,0.0
lseh-WeiKaiYan-RangXuZhou.xml_4,望使君放开怀慨然（呐）应（呐）允，,12814789.26128503,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,12819563.805445958,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,12856716.20186752,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,12863324.148830565,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,12880289.054093292,0.1
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,12892306.300285123,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,12906373.67260819,0.2
lseh-TanXiongDi-SangYuanJiZi.xml_1,丢下了年幼儿好不伤情。,12933601.062709758,0.2
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,12971871.718212811,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,12977136.274820762,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,12981181.89643699,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,12987307.377465207,0.1
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,12989917.808513222,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,13006736.06999354,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,13040691.231045548,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,13041793.329549888,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,13048462.079867795,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,13050441.684086323,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,13069212.011024242,0.1
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,13071634.89259595,0.1
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,13074930.938737838,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,13090280.969109599,0.1
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,13107808.276005844,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,13116351.933501791,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,13116457.09548252,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,13123606.682642832,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,13126203.196214091,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,13132112.016380899,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,13152458.520072274,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,13168963.116896678,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,13173576.228793856,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,13188156.263920078,0.1
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,13200974.625801884,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,13206201.84107245,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,13210996.971279854,0.0
lsxp-WoBenShi-KongChengJi-2.xml_4,官封到武乡侯（呃）执掌帅印，,13212771.270264441,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,13212957.046752157,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,13235853.71866444,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,13279419.798398614,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,13279920.298871402,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,13280645.01530723,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,13290436.932256708,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,13294434.8301805,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_33,我本当拔宝剑自寻短见，,13297761.967513878,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,13298875.714125477,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,13314445.24931699,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,13317386.591733057,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,13317589.268794704,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,13323764.422184968,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,13331281.905197108,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,13343092.668653116,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,13371714.442621008,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,13383181.345534844,0.1
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,13394905.350323154,0.1
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,13409598.030615056,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,13452641.823166838,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,13478357.352174448,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,13480170.018596066,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,13489257.99295462,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,13491250.585617753,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,13495308.167918641,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,13502137.874913312,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,13508136.235557329,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,13523694.700889038,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,13524554.698466228,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,13526142.15621166,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,13531639.133107131,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,13550729.979530068,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,13554683.378823813,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,13571768.760594597,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,13572368.020947324,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,13574782.590894021,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,13606749.732835073,0.1
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,13608240.278617982,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,13620932.899086522,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,13625721.3810025,0.1
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,13637838.816316029,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,13647853.118565017,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,13648551.654814448,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,13656334.459561286,0.1
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,13665509.88180172,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,13685041.720934121,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,13687794.121324709,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,13707644.960326508,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,13725834.007755749,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,13742946.189646997,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,13776860.861093407,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,13779024.947145252,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,13796314.622132009,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,13797624.62508767,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,13801770.085732535,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,13807944.621327128,0.1
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,13841156.13996769,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,13850244.750509057,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,13852491.424806284,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,13856738.446155274,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,13857056.107739914,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,13863048.16856861,0.1
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,13867340.765970232,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,13875395.090889031,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,13877779.271296991,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,13898051.278808353,0.1
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,13903253.657001125,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,13934275.942030342,0.2
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,13950569.358934358,0.1
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,13953563.559005573,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,13955831.708239127,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,13960018.207461499,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,14003019.515599776,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,14004711.013351956,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,14012682.936339566,0.1
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,14014136.344240882,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,14032932.7242751,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,14040575.397762826,0.1
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,14041221.674978083,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,14102805.431104388,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,14102847.278867327,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,14110424.36392254,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,14111328.510154013,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,14117661.549424252,0.1
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,14119014.804507878,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,14121582.568827447,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,14135499.20774029,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,14148128.386408316,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,14155806.069782447,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,14167090.961233698,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,14168360.153500218,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,14175978.649431122,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,14177775.08987434,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,14184510.617008306,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,14214794.460483678,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,14237813.193740206,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,14303446.915070467,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,14306708.524570877,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,14317863.76726523,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,14355570.57950313,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,14364226.45906723,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,14380701.318202138,0.1
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,14384327.483037708,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,14404988.338604001,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,14412806.678545794,0.1
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,14415923.703200711,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,14418330.36232861,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,14423862.34907878,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,14438011.307997044,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,14455290.507440705,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,14461659.425977381,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,14470555.716467056,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,14485706.578378577,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,14533862.16124853,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,14535505.324631974,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,14557151.878097108,0.1
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,14566406.776383255,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,14594665.657036055,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,14600977.345992288,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,14616450.706531918,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,14617402.82101758,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,14627181.952453017,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,14655557.042397879,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,14655706.535536358,0.1
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,14662150.6022982,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,14663886.284140576,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,14674310.612706872,0.0
