儿行千里母担忧,0,儿行千里母担忧。
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,5219077.256021358,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,5250709.645612637,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5295510.197367432,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,5358195.513870447,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,5404646.995295033,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,5412926.871769159,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,5415641.989880625,0.0
lseh-ZenNengGou-BaDaChui.xml_3,倒不如上公安观看古今。,5440777.547347576,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,5447617.7703259075,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5449728.7296944065,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,5466774.748728244,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,5486119.305947657,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,5518668.05750088,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,5526999.913378095,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,5541001.7995363735,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,5561071.374172645,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,5589357.470088746,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5591779.267061738,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,5633968.34605991,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,5639705.642464472,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,5641699.411298421,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,5675657.990029423,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,5709988.12231382,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,5748503.30077731,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,5762040.45013152,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,5810207.39174391,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5814458.938643784,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,5819624.67556811,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,5857092.242299158,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,5867222.0875465395,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,5924019.152864085,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,5929999.966150256,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,5935256.784923175,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,5946186.19108996,0.0
