因此上臣的病重加十分、千岁爷呀！,0,因此上臣的病重（呃）加十分、千岁爷呀！
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,8060588.200072878,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,8062833.783520435,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,8067636.335497243,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8073722.174821535,0.0625
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,8109321.225974834,0.0625
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,8122632.698797155,0.0625
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8128295.61315625,0.0625
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,8132514.911234763,0.0625
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,8132878.482610723,0.0625
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,8149495.263420731,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,8158869.016395404,0.0625
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,8199009.470483241,0.0625
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,8237333.66488079,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,8251580.860384304,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,8258266.561804531,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8258735.506889915,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,8261531.3069799915,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,8268270.123918435,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,8276456.584936735,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,8293038.110291447,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,8297528.167627776,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,8309718.461738724,0.0625
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8340986.920681048,0.0625
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8342319.550152355,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,8350669.234873961,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,8376525.364340131,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,8412116.271340651,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,8470912.501652002,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,8476767.54715939,0.0625
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,8491750.227257408,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,8510843.172163852,0.0625
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,8528627.576946378,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,8538755.614379,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,8544822.546771022,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,8550068.834105048,0.0625
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,8563858.36982059,0.0625
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,8564164.680308454,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,8572350.9833069,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,8587199.879923822,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,8596069.25831879,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,8614332.1628299,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,8618298.087198373,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,8631940.050452458,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,8655386.271210566,0.125
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,8668553.010773621,0.0
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,8672936.28360508,0.0625
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,8679278.647171758,0.0625
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,8684302.613562828,0.0625
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,8692514.591539603,0.0625
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,8713373.088360019,0.0
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,8737882.218271751,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,8748026.421270357,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,8767431.584476503,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,8769965.252177496,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,8786559.793803286,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8804888.736579796,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,8823404.831482317,0.0625
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,8836092.476270521,0.0625
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,8843318.008637024,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,8903157.797221096,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,8913678.434321836,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8919477.957727047,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,8928084.784046909,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,8930134.351222698,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,8939715.226221588,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,8940944.786546195,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,8942791.465190899,0.0625
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8956405.412126705,0.0625
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,8960021.291061806,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,8960138.368995586,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8963366.791749261,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,8977040.697412325,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,8977702.77499647,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,8980920.447388845,0.0625
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,8987898.255371504,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,8995272.495811688,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,9002155.319484152,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,9004331.056575527,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,9011812.051012048,0.0625
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,9021176.876810197,0.0625
lseh-LaoZhangBu-WuPenJi.xml_2,休把我当作了妖魔论，,9025700.215350527,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,9029690.995019348,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,9030528.240147034,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,9045573.38935272,0.0
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,9063420.838724202,0.0
