朝欢暮乐无牵挂,0,朝欢暮乐无牵挂，
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7540167.567463055,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7540167.567463055,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,7549929.942207274,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,7558661.177547948,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,7567351.705158262,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,7574505.069752296,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7582075.496990551,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,7584225.1844815435,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7588139.449404208,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,7596463.265330797,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,7605292.115579195,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,7611123.349391787,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,7613348.675413147,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_3,身不爽不由人瞌睡朦胧。,7615748.447867909,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,7619632.635792721,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,7636433.439352381,0.0
sdxp-SuLongWei-WuJiaPo.xml_10,管保大嫂就断与咱。,7642226.071705405,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,7669629.350069571,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,7676712.250753836,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,7690774.782442812,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,7700759.795971166,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,7713952.262722196,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,7720252.975291333,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,7722974.265015335,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,7730314.3543331595,0.0
lsxp-WoBenShi-KongChengJi-2.xml_4,官封到武乡侯（呃）执掌帅印，,7737423.067150618,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7738677.933629098,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,7738719.995471143,0.0
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,7751745.93924785,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,7780391.746632328,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,7783590.074738989,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,7787793.671931846,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7795270.94961953,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,7803236.312362343,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,7806471.590145848,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,7826475.600311173,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7836195.159785681,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,7854092.728173854,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7867291.45266743,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,7868468.517749233,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,7892859.772200513,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,7893935.483197732,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,7898337.186323577,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,7908565.929713833,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,7920520.505630102,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,7945408.672532133,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,7952689.924299883,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_11,自有那神灵（啊）天地鉴察。,7952840.400372786,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,7962513.53020055,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,7968604.325556545,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,7971701.710543121,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,7982217.687895654,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,7983811.3382265875,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,7983811.3382265875,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,8013949.815917187,0.14285714285714285
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,8014905.345432279,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,8028346.513185834,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8029588.188372411,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,8036981.525525381,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,8043296.38684122,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,8060863.133399559,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,8074970.792907028,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,8080895.081073244,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,8085692.512590034,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,8098169.226268905,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,8098400.416952042,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,8112461.968159796,0.14285714285714285
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,8168886.205772195,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,8203267.488635563,0.0
lsxp-WoBenShi-KongChengJi-1.xml_4,官封到武乡侯哇执掌帅印，,8216699.485090542,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,8234442.08523423,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,8240370.505735871,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,8243950.438091864,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,8252340.609891005,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8260747.640148591,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,8278384.741788221,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,8283255.569221835,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,8286032.145882701,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,8288081.330474765,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8306635.428578159,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,8310306.844471688,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,8320000.835180743,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,8334314.96156378,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8337480.06283563,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8351369.187197204,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,8353845.971337565,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,8354510.885661604,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,8371576.095099666,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,8380242.586413142,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,8382378.041314621,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,8405400.002575058,0.0
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,8412160.778415749,0.0
lsxp-DaHeYi-SiLangTanMu.xml_16,我是你四哥回宋营。,8432056.601275645,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,8434515.8581392,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,8444287.099280428,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,8447484.75961115,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,8454704.007656166,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,8469228.141499586,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,8472174.57987196,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,8482048.409880877,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,8495784.676863927,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,8500801.697495956,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,8502422.65253091,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,8516019.096144294,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,8529096.952523364,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,8537184.890170205,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,8537758.144627172,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,8545758.527885137,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,8549249.340326583,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,8559144.982651755,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,8571740.092827896,0.0
lseh-ZiNaRi-HongYangDong.xml_0,自（喏）那日朝罢归身（呐）染重病，,8591086.2173332,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,8594430.519949654,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8609784.986467458,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,8621691.567236032,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,8636796.39343037,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8649829.145131174,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8650054.68502947,0.14285714285714285
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,8652813.7611523,0.14285714285714285
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,8683201.807946768,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,8688513.458234176,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,8691110.79878428,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,8693187.41830116,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,8694062.650933703,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,8699688.924601512,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,8705761.086715983,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,8709215.788404265,0.14285714285714285
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,8711812.832165537,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,8723792.194352446,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,8725495.743394502,0.0
lseh-LaoZhangBu-WuPenJi.xml_6,我和你远无冤近无有仇恨，,8727267.100416591,0.14285714285714285
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8732336.612260992,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,8742260.908667238,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8744133.960243355,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,8760766.333699351,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,8769000.68546049,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,8769000.68546049,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,8780256.210574802,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,8783461.800683979,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,8788978.475555971,0.14285714285714285
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,8798774.573451988,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,8799062.491417725,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,8799671.92928361,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,8801909.813652294,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,8809162.915111998,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,8811110.001050105,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,8817349.1254691,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,8832964.279083082,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,8843636.491268508,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,8857309.290473199,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,8859000.77063463,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,8865185.188579591,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,8870110.181310821,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,8871811.739432398,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,8872059.683467539,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,8911611.307396254,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,8913417.569704317,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,8920969.779626302,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,8935078.851499472,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,8935690.500969691,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8961587.449671205,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,8965849.910912387,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,8981035.374823196,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,8995103.239558432,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,8996167.728195554,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,9013741.04552614,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,9042129.32169626,0.0
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,9058880.787541466,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,9060759.022550697,0.14285714285714285
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,9061637.2842386,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,9087581.316210954,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,9088189.45802981,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,9088840.11569793,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,9092716.863315575,0.14285714285714285
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,9097298.419773137,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_11,自有那神灵儿天地鉴察。,9104238.475198084,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,9105292.007060334,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9109301.834779827,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9113795.550736263,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,9115712.030039333,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,9123437.860130707,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,9135993.32679167,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,9137964.008989418,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,9143047.82045123,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,9164569.646753164,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,9164697.484023778,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,9166450.754984839,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,9174427.84507794,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,9198068.33466265,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,9210584.891308151,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,9226140.658800563,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,9231055.346571691,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,9263565.19959609,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,9263711.297682684,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9264036.937790839,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,9267338.547980996,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,9267338.547980996,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,9278171.762460282,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_11,自有那神灵儿天地鉴察。,9282389.163639382,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9291863.395689495,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,9292340.595915686,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9302063.032963911,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,9302718.55223499,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9310604.034419028,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,9347388.141640197,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9364309.120858992,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,9378826.40576156,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,9383108.444925355,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,9387435.72192987,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_6,三人同把那鬼门关上爬，,9399398.693713881,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,9411060.324791104,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9418101.791111656,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_10,爹娘（呃）要相逢除非是梦（呃）里团圆。,9425187.72206407,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,9433625.85239057,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,9446678.1462839,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,9447404.454933392,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,9448898.745431155,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,9462995.17821947,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,9467600.802814813,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,9468608.659893306,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,9492599.152032174,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,9502859.982634496,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,9523339.475922327,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,9524652.554899475,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,9532132.468979679,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,9538232.357412765,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,9545738.709550561,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,9597485.564319072,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,9601307.180285364,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,9635017.851199767,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,9635565.237844339,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,9639405.132267842,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,9639405.132267842,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,9644986.546864696,0.0
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,9703300.18404925,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,9706208.241949314,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,9707607.565190796,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,9721201.599907037,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,9728914.319603631,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,9730123.298300559,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,9744874.920361144,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,9750104.8428286,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,9759537.52171615,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,9783056.553315897,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,9786079.170008184,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,9788004.37102896,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,9812919.724203607,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,9816770.889465293,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,9821690.737807991,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,9844856.786866428,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,9845285.791205619,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,9853910.956780875,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,9856436.442047875,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,9868147.611727858,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,9874282.161981737,0.0
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,9878715.599257471,0.0
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,9919046.554764355,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,9926913.396728585,0.0
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,9944329.21246258,0.0
