先帝爷下南阳御驾三请,0,先帝（呀）爷下南阳（呃）御驾三（呃）请，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,7167058.386160016,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,7174103.492543482,0.1
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,7183948.869166672,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,7208147.309140758,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,7233135.142448987,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,7233522.934506292,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7240609.9038168825,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,7242263.442302038,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,7245803.729814758,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,7257584.421718061,0.1
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7335091.978113081,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,7347088.971102473,0.0
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,7356598.519858136,0.0
lsxp-WoBenShi-KongChengJi-1.xml_4,官封到武乡侯哇执掌帅印，,7381453.1394870095,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,7383796.1331528155,0.0
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,7386348.142153456,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,7403100.620088911,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,7430386.350702803,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,7431717.644074956,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,7441055.330235122,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,7462283.870614952,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,7467443.055255864,0.1
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,7471296.031101714,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,7486161.997942325,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,7499043.783168849,0.1
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,7503226.984081803,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7506435.38452095,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,7525565.089231648,0.1
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7530747.761170937,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7544707.595812278,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,7564796.763016623,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,7575072.870969402,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,7580842.054265775,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,7596680.753016847,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,7623613.012274267,0.0
lsxp-WoBenShi-KongChengJi-2.xml_4,官封到武乡侯（呃）执掌帅印，,7632467.78356449,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,7637734.194148599,0.0
