我好比哀哀长空雁,0,我好（呃）比哀哀长空雁，
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,9008322.96576713,0.125
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,9051489.570948256,0.125
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,9054240.976929171,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,9069118.681318283,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,9084196.653521176,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9094283.328235043,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,9107042.854873905,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,9108446.201256437,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,9127012.561893888,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,9155166.450524805,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,9161709.97287889,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,9164415.098872144,0.125
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,9164764.940116473,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,9167737.262025667,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,9171266.510572463,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,9182973.436708106,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,9188884.195147123,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,9203911.277624037,0.125
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,9219116.179143213,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,9223298.45901636,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,9224784.532473424,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,9230830.769447776,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,9239136.27216738,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,9249102.704265913,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,9250103.0582594,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,9264569.775259273,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,9277568.553007443,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,9287285.951164374,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9287369.241818862,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,9292035.342471158,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,9297725.42554012,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,9311283.599107644,0.375
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,9366397.152046742,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,9382409.694416538,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,9391611.268066151,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,9398239.552565208,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,9422446.543311052,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,9424867.984329056,0.375
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,9428256.486647284,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,9450545.393429043,0.125
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,9476267.717985755,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,9477868.997835122,0.125
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,9501611.669703605,0.125
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,9502658.993273955,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,9507977.193950338,0.25
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,9508348.26567081,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,9513196.884263333,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,9518767.144527657,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,9533039.498834394,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,9535822.552322475,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,9548926.97569234,0.25
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,9554892.276716651,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,9558840.0183086,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,9559694.185376905,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,9560089.865891514,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,9573645.40326788,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,9583138.404724758,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,9588597.63719401,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,9589252.539829062,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,9605852.980264828,0.125
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,9605852.980264828,0.125
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,9638810.564447109,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,9642563.390566869,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9644780.267426422,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,9663141.357183406,0.25
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,9668247.479558505,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,9674044.544218993,0.125
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,9681473.505065048,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,9690422.191644643,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,9715786.289923694,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,9738461.059679698,0.375
lseh-XiRiLi-BaoLianDeng.xml_5,那伯夷尊父命也不能应承，,9739887.186104754,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,9767709.536383178,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9769728.454100342,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,9785304.684287766,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,9798904.56855907,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,9807035.037633216,0.125
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,9810275.229058977,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,9821208.330248805,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,9835361.684695786,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,9839154.9005379,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9841172.26264691,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,9850468.688000081,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9851805.517104497,0.125
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,9852734.203735957,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,9856542.85959747,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,9868944.064708598,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,9869381.337217964,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,9872479.882261993,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,9878351.74087927,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,9900291.569328478,0.25
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,9903756.576844653,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,9905235.98692033,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,9923900.38395958,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,9935238.71422284,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,9940147.194678929,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,9944131.67813195,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,9949810.118442684,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,9951377.574498843,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,9958569.203178376,0.125
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,9958569.203178376,0.125
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9963154.616953354,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,9979498.320142247,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,9986717.380604023,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,9996472.18997899,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,10007382.387730407,0.125
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,10011272.107863719,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,10022107.524671338,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,10026728.224947475,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,10033441.118316254,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,10034351.898507329,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,10037357.735098988,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,10042130.384807782,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,10047288.65535228,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,10048106.435613906,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,10052465.043662535,0.125
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,10054483.300458191,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_33,我本当拔宝剑自寻短见，,10094285.62042817,0.125
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,10094640.1368329,0.125
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,10096116.904612344,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,10099709.121797666,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,10102668.373618351,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,10129299.414370758,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_10,屈死的怨鬼魂休要怨（呐）咱，,10136536.190769944,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,10138074.820299821,0.25
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,10139161.830689058,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,10141477.758202793,0.125
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,10169543.305846123,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,10181947.882021366,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_3,见坟台不见人刀割我心。,10182191.610050838,0.125
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,10202105.053104365,0.125
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,10204007.534849104,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,10206005.835009614,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,10220385.970059669,0.125
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,10234784.017420083,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,10249175.027222212,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,10252066.057032159,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,10253945.464981036,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,10262917.192086741,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,10291065.543830734,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,10301301.595652118,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,10313894.899477778,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,10315728.836157503,0.125
lsxp-ZhangGongDao-ZhuangYuanPu.xml_3,为儿（喏）女我也曾补路修桥。,10318944.988541769,0.125
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,10326449.935157998,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,10326449.935157998,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,10326953.149107814,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,10327195.771497265,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,10330240.198385796,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,10354370.71971583,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,10355166.238430288,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,10364560.369753169,0.125
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,10374859.66161594,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,10379996.996477516,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,10381482.031960877,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_5,这才是花随水水不（哇）能恋（呐）花。,10381710.826898266,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,10382267.454738297,0.125
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,10393638.631805612,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_2,悔不该心猿并意马，,10397427.376777899,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,10400306.353142727,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,10404899.294265632,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,10406232.147030598,0.125
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,10409279.103745166,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,10438728.50114438,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_4,我与那公孙杵臼把计定，,10439384.724948958,0.125
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,10458073.863455532,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,10461671.013882183,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,10495804.39547006,0.125
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,10498239.15361243,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,10503661.779013382,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,10518015.672603467,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,10522115.437958641,0.125
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,10535321.794295149,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,10538846.714809576,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,10539229.685771422,0.125
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,10542491.058996566,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,10554250.12842017,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,10572562.020870326,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,10587862.560627302,0.125
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,10597659.743698942,0.125
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,10604583.432672894,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,10619827.169247424,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,10620976.033221304,0.125
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,10625209.434211643,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,10633017.979061164,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,10666219.858017813,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,10666917.304366792,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,10679197.604500912,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,10685249.032562621,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,10692486.002438609,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,10693596.621215874,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,10694903.977594126,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,10704088.903760046,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,10707454.100311555,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,10719382.561113926,0.0
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,10726168.018511126,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,10727483.501869978,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,10731366.097335506,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,10769622.503832262,0.125
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,10782867.85887657,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,10785718.892185569,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_10,屈死的冤鬼魂休要怨咱，,10801098.176528696,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,10804780.530335004,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,10805817.01023932,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,10811145.689181078,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,10830767.091630481,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,10843483.628862133,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,10849971.38012233,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,10855289.056423318,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,10861190.117608713,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,10866520.650012443,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,10879148.054260843,0.125
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,10898302.469998848,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,10911870.951928811,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,10920534.6352958,0.125
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,10926893.999628909,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,10932636.979758585,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,10935119.592351846,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,10936130.771648945,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,10942673.354308058,0.125
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,10954893.483586727,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,10958134.389830064,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_19,安眠好似并底之蛙，,10964260.511562414,0.125
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,10970762.90728438,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,10991594.564806,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,10996786.613497363,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,11000870.303845646,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,11031848.411744738,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,11039108.162801545,0.125
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,11084249.08288233,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,11093891.469935255,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,11102681.236221615,0.125
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,11125208.391460827,0.125
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,11132470.012015928,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,11132629.82299254,0.25
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,11141526.3703253,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,11156237.65870594,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,11158216.852808706,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,11178522.585411742,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,11199092.127515579,0.125
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,11227949.982249286,0.25
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,11238173.263443079,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_5,这才是花随水水不（哇）能恋（呐）花。,11238489.411253052,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,11245166.81146998,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,11262651.758111207,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,11277368.692150697,0.125
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,11283368.556694845,0.25
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,11304546.098651327,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,11307246.416143106,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,11312238.609161416,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,11313061.189172849,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,11321155.644887062,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,11330804.083746519,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,11335911.96566056,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,11347517.136721535,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,11349535.993328104,0.125
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,11350610.777392827,0.125
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,11352300.762278419,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,11362136.998637803,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,11366660.45827736,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,11382124.7496792,0.125
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,11397372.55698828,0.0
