我好比哀哀长空雁,0,我好（呃）比哀哀长空雁，
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6814846.572569269,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,6826423.198879171,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,6851535.741001487,0.125
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6854035.853701594,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,6859106.39697625,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6952782.819109197,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,6952980.412579845,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,6959951.431315225,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,6961370.507066586,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,6969629.130248493,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,6971423.91240633,0.375
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,7004946.732775162,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,7027324.2849233905,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7074110.0943376105,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,7101714.114624565,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,7104090.83392782,0.375
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,7110102.942610119,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,7119598.757283652,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,7129810.134944729,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,7154334.349052925,0.125
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7190024.503483008,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,7193499.595524322,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7211588.865600462,0.25
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,7217692.206998603,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,7221134.071227661,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7235635.286323375,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,7240347.892841719,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,7241007.3127919845,0.375
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,7273804.661477048,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7307985.671157377,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,7322108.959303631,0.125
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7322806.018683829,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,7349987.199120812,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,7370214.548805756,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,7372058.284230753,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,7407654.494344253,0.375
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7409002.3955058055,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,7419538.778464604,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,7433636.394145139,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,7464553.133309859,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,7475719.480298095,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,7488412.936172071,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,7512652.11825941,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7554483.894177978,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7561860.3300902,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,7562863.013712578,0.125
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,7562863.013712578,0.125
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7566455.195965009,0.125
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,7569184.240113288,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7595465.037946955,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,7601225.14632602,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,7619160.613139087,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,7619373.59394651,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7646401.802714901,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,7655029.137839735,0.125
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,7663635.771572827,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,7666230.721257997,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,7671778.328216179,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,7701100.729861051,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,7764781.8701728815,0.125
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,7778514.7219677325,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,7779992.940916882,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7785880.225755709,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,7786506.516412864,0.0
