杨林与我来争斗,0,杨林与我来争斗，
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,9123648.537527818,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,9123648.537527818,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,9172849.03595168,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,9178474.680684038,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,9207704.612039324,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,9283755.224636585,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,9307506.94091253,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,9335315.090100976,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,9361038.689298112,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,9410079.296721885,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,9413477.422493918,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,9444988.722023023,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9475871.948978186,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,9493664.664829254,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,9522131.18126335,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,9684456.631449822,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,9693001.113244347,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,9835312.717813473,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,9849980.551065233,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,9857642.565077534,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,9909648.73092446,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,9931576.893612696,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,9952033.972775314,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,9973277.071855484,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,10101173.06818086,0.14285714285714285
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,10244701.807332596,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,10342462.16989539,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,10376784.187204449,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,10390140.629493069,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,10459137.232890038,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,10500310.632627696,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,10520570.82770712,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,10545505.364161849,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,10548080.794183366,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,10573120.410071213,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,10641451.010357289,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,10660421.207616407,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,10670201.071775742,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,10683319.926232003,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,10706086.728697972,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,10754408.657418229,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,10755715.16577043,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,10801164.023847172,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,10824202.98032684,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,10834277.851220664,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,10900497.994346198,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,10950755.792266887,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,10952298.932084177,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,11024458.109847171,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,11030952.658323662,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,11052351.212024694,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,11113584.847991964,0.2857142857142857
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,11136928.314780435,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,11163973.077560386,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,11166107.595936388,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,11207089.407248378,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,11238846.118114427,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,11244623.795078762,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,11277657.690598737,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,11278974.734074255,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,11283585.25253911,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,11302560.799814772,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,11306585.376289668,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,11319008.605608424,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,11328793.586177403,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,11373303.126247007,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,11536142.43762857,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,11599390.051005019,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,11674425.65792223,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,11684206.080875881,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,11715086.998831762,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,11715812.096646171,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,11753566.78411939,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,11776517.076384759,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,11810122.62928159,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,11853601.941956794,0.0
