思来想去我的肝肠断,0,思来想去我的肝肠断，
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,4276804.895574197,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,4290143.427187873,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,4306668.296604734,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,4310361.21231895,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,4312709.603046084,0.2222222222222222
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,4332875.81657626,0.2222222222222222
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,4334741.980360732,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,4369656.6226750845,0.2222222222222222
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,4369656.6226750845,0.2222222222222222
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,4379484.26627394,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4411323.39167971,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,4411607.834988408,0.1111111111111111
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,4441995.820690873,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,4447560.416352556,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,4448391.662282102,0.2222222222222222
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,4448432.317208339,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,4459429.781648586,0.1111111111111111
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4501254.687197157,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,4501877.019376716,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,4510914.540325668,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,4523084.682332835,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,4531680.753276616,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,4545665.7662127465,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4560644.000997689,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,4570119.9653679645,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,4571943.792413405,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,4581444.966028242,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,4583692.294681853,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,4589115.158735331,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,4606073.876304877,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,4609163.761523384,0.2222222222222222
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,4629802.932501776,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,4630162.984199455,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,4637874.658397115,0.2222222222222222
