为此事终日里忧成疾病,0,为此事终（啊）日里忧成疾病，
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,7230140.043932631,0.1
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7257776.314887839,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,7293761.624177165,0.2
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,7303298.772778003,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7304255.188510623,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7331747.580333791,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,7353433.130737673,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,7373760.613350874,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,7395548.456643403,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7401767.414527553,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7408451.013514888,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7437482.216300315,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,7459422.45566827,0.2
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,7489233.686693827,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,7492496.234202319,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,7528896.597930562,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,7536053.571614105,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_4,我与那公孙杵臼把计定，,7552988.739964171,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,7558368.071809084,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,7563369.467721977,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7571764.618170988,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,7572213.951674031,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,7586302.028484258,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,7597533.188359594,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,7630789.478943035,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,7630789.478943035,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,7632382.758514205,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7655738.070467307,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,7672970.995150272,0.1
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,7672970.995150272,0.1
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7699055.39420415,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,7717497.062496716,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,7721966.710420466,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,7731427.462964945,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7736126.501354153,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,7738286.86635469,0.1
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,7808718.670192897,0.0
