因此上发配到登州,0,因此上发配到登州。
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,4041538.3056556038,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,4041538.3056556038,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,4070579.2716633584,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,4073573.8047817275,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,4080711.034749286,0.0
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,4092252.256988156,0.0
sdxp-DangNianHan-SanJiZhang.xml_2,未央宫斩的是何人？,4109668.831577183,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_17,翻来覆去睡不（哇）安。,4109681.6304126265,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,4114223.154360258,0.125
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,4134110.127300963,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,4148718.9600306386,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,4155939.9894166915,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,4164713.8090951904,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,4182562.180109015,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,4183030.6131759817,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,4184177.305020761,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,4200621.077933975,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,4205968.232117565,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,4212870.394008959,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,4224212.38160745,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_1,翻来复去睡不安。,4229695.832038124,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,4236197.752694603,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,4237625.004097229,0.125
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,4279435.805726467,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,4283435.517108235,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,4293588.156611755,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,4330892.54417099,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,4340890.299778766,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,4342859.981108725,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,4369417.518891934,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,4373307.9247433515,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,4389474.720041034,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,4397772.703223847,0.0
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,4424877.030653756,0.125
lsxp-DaHeYi-SiLangTanMu.xml_6,怎知今日回宋营。,4435233.090354823,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,4436837.305272532,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,4436837.305272532,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,4446419.883190475,0.125
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,4457528.697510405,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,4480145.207644573,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,4481233.701701104,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,4481456.572054521,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,4483690.818218888,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,4502714.188807469,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,4513110.3932224065,0.0
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,4539394.366589513,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,4578040.625773985,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,4578343.895024102,0.125
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,4580779.227208093,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,4590433.617629089,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4604517.013358496,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,4613895.051543827,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,4663844.038510861,0.125
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,4681355.48202152,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,4693318.290943347,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,4698571.085155864,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,4700334.493591723,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,4704957.664492106,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,4706008.059081498,0.125
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,4757754.113837664,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,4757754.113837664,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,4787598.167383877,0.125
