因此上发配到登州,0,因此上发配到登州。
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,5947139.9131709095,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,5948918.195122575,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,5956020.6207390735,0.125
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,5959264.479614102,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,5976323.503693335,0.0
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,5977403.844288687,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,5978507.288864383,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,5979623.9512721095,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,5987240.984271655,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,5990273.924484602,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,6024215.038493151,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,6026314.752720639,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6030069.889958931,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,6042000.710501465,0.125
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,6047686.1430001445,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,6059706.777268936,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,6066649.528091892,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6067912.060365611,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,6069646.233577676,0.0
lseh-WeiKaiYan-RangXuZhou.xml_3,老朽年迈我也不能够担承。,6070181.838573076,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,6083111.729220803,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,6087976.668365851,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,6093381.571332793,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,6102827.929969694,0.0
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,6105057.472100439,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,6116033.733394932,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,6177234.368683509,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,6179501.578987692,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,6182644.122365064,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,6182644.122365064,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6182806.093573361,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6186051.595892746,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,6198826.444003552,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,6198978.240652033,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,6227986.2348761605,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,6231849.035934622,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,6252263.677631038,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,6252298.143310079,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,6264859.680230906,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,6269258.119622063,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6274310.175213826,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,6298208.591609394,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,6305150.479883397,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,6319838.538820192,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6320378.84486097,0.125
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,6329596.078333359,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,6341144.00072035,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,6357830.290562473,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,6364302.181203388,0.125
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,6385625.056256853,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,6395404.030152397,0.125
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,6410922.409312465,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,6411854.694611315,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,6416108.516933804,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6419049.247357248,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,6440485.038190772,0.125
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,6445246.39424033,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,6453887.072987227,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,6465510.989461713,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,6479189.924430766,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,6480955.7116309535,0.125
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6481768.088517716,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,6493793.050949906,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,6498550.735599823,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,6507248.736667506,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,6511022.189840676,0.0
lseh-LaoZhangBu-WuPenJi.xml_1,我有言来你是（喏）听。,6522011.563624021,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,6525208.5130484635,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,6546772.270493779,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,6554546.045410145,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,6561869.496780682,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,6564722.686131611,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,6565411.466207524,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,6589633.643229906,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,6595181.451830839,0.0
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,6601425.367619657,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,6604674.890006437,0.125
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,6618798.037990595,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,6632093.862428915,0.0
lsxp-QingGongYan-FaDongWu.xml_1,想起桃园结拜情。,6633872.874670497,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,6638987.298614929,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6644121.158847055,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,6651326.008144796,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,6652185.569916359,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,6654971.58283638,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,6658564.1262121,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,6665032.786546444,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,6684486.608064927,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6687598.880949603,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,6692897.415782292,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,6715437.004025259,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,6721449.837959407,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6734669.014428631,0.0
lsxp-WoBenShi-KongChengJi-1.xml_2,先帝呀爷下南阳御呀驾三请，,6759085.314787879,0.0
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,6759904.74358177,0.125
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,6762043.017066771,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_12,越思越想好伤惨，,6763082.067692818,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,6766931.857545222,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,6768587.951231341,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,6788098.436347408,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6789075.469375909,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,6798520.098035073,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6806566.4707136005,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,6812445.156753182,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6821590.114451744,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,6828614.422846187,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,6835633.576580711,0.125
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,6842888.629420096,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,6844247.459389341,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,6846786.30727594,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,6850240.280774175,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,6853320.466623764,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,6863314.214041376,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,6864508.527361191,0.0
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,6864633.529425502,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,6875363.318553237,0.0
lseh-XiRiLi-BaoLianDeng.xml_15,打死个秦官保父不能担承。,6877749.130818233,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,6896346.672645771,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6930370.824945312,0.0
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,6934665.877445962,0.125
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,6941336.149255913,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,6979823.957334426,0.0
sdxp-SuLongWei-WuJiaPo.xml_17,买绫罗与绸缎、打首饰和簪环，,6987909.480141285,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6988615.78813921,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,6990245.201724825,0.125
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,6998985.062850015,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,7005020.985731693,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7019621.730774007,0.125
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7028635.139399717,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,7048440.978974736,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,7056077.39843508,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,7085852.837426186,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,7085852.837426186,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,7099765.750401977,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,7102547.5675197495,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,7103177.236884967,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,7103922.611148184,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,7110377.276348685,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,7126962.126387744,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,7144351.690955884,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,7151042.048492859,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,7160544.245161142,0.125
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,7177555.649887199,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,7192028.2298914185,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7207432.349657064,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7209338.725583388,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7213653.934380385,0.125
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,7226271.409618914,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_1,文韬武略智谋高。,7228623.914828679,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7231806.646596842,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7247327.655603259,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,7248437.043576373,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,7255436.50956575,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,7256334.74242361,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,7258619.068682838,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,7269834.5391046805,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7274872.508870291,0.125
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7281445.60252876,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,7287255.440133393,0.125
lsxp-HenPingWang-WenZhaoGuan.xml_2,我的（呀）父谏奏反把命（哪）送，,7288230.711567102,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,7298506.06735976,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,7302958.2327572545,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,7305791.720476754,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,7307002.66743669,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_21,我不杀平王我的心怎甘。,7314513.4991571065,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,7323280.453963558,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,7330757.797554433,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,7340431.734273455,0.125
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7359301.436407637,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,7375243.12848886,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,7376041.142590028,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7376198.473328261,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,7376739.054123295,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,7380718.987434994,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7384201.221294477,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,7409383.19591791,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,7411861.556406053,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7428113.485050645,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,7429348.004952488,0.125
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,7431484.463764004,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,7434410.7666950105,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,7464275.909970258,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7467123.132905244,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,7467729.8790160855,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,7468345.441477715,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7476185.88366452,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,7502318.481654284,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,7504854.396762273,0.125
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,7514352.965929285,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_37,我不杀平王我的心怎甘（哪）。,7517160.373971803,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,7525218.415146826,0.125
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7528199.967584834,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,7529285.4555393495,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_34,寻短（哪）哎见爹娘（兀）！,7533111.583349852,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,7536348.899005293,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,7607129.152464251,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,7615746.715134543,0.125
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,7620148.403534592,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,7625597.483908322,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7639306.131115172,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,7641484.210749801,0.0
sdxp-WoHeNi-SiLangTanMu.xml_12,无有令箭怎过关。,7642277.693034852,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,7682869.5459568165,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7691479.428764615,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,7701831.23966242,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,7711131.51775731,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,7713387.640750885,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,7715482.709088849,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7735916.56564921,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,7744785.882007555,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,7767721.373233621,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,7773259.133424381,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,7782488.555588843,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,7782488.555588843,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,7808422.646233546,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7809635.253989958,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,7815495.95070531,0.125
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,7819430.964361657,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7835045.729872586,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,7848249.068190464,0.125
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,7859121.893548787,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,7881982.902554037,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,7900788.315544326,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7903841.312139285,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7912421.978908236,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,7949186.384087162,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,7950171.096282339,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7951379.781821536,0.125
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,7954024.770331104,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,7963992.637872379,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_6,这时候我只得暂且忍耐在心下，,7965858.042145379,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7979924.268817847,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_6,这时候我只得暂且忍耐在心下，,7983219.747425184,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,7984521.4372916585,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,7985614.859054891,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,8013824.777513131,0.125
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8016389.220430358,0.125
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,8019156.943901834,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8033035.093959916,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,8043859.944551288,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,8045564.068376085,0.125
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,8051786.851700257,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8054799.083471486,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,8066050.5521722995,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8066260.649421022,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,8072257.978580334,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8085686.576612402,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,8089374.384458214,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,8100685.2371998485,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,8119448.886059881,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,8120962.277247907,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,8123568.996144926,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,8126251.916399315,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,8129952.2335792985,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8133919.530616038,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8141369.070580602,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,8146244.716398747,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_18,寻短（呃）哎见爹娘（呃）。,8159103.512707744,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8161663.442431309,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,8166824.947654425,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,8173270.782061851,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,8173774.428343202,0.0
