儿想娘亲难叩首,0,儿想娘亲难叩首，
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,5741998.961715544,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,5747821.992818989,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5750052.159046305,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,5761049.820670297,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,5779470.581017632,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,5828474.509664282,0.2857142857142857
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,5862591.47191118,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,5875076.665007537,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5885236.676711085,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,5886017.012497335,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,5905036.219585036,0.14285714285714285
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,5906833.040557374,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5908798.465260327,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,5917625.60860577,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5951657.3299591,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,5981215.968621343,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,6011516.265789061,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6021824.4872135995,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,6043004.408478345,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6068614.0049827695,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6084493.07200958,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,6084997.751250261,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,6102101.180144599,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,6114697.277560592,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,6123805.805927603,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,6132216.596949309,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,6143294.352602414,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,6149752.252413814,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,6168527.269207895,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6170512.641844808,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,6180239.9143383615,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,6186104.70331227,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,6193044.937919444,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,6198069.284784142,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,6209653.510292658,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,6237831.6518765725,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,6263885.120024255,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6283796.427941049,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6315421.999350211,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,6321272.950815065,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,6325599.439005336,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6327133.6294922335,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,6391772.883291521,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6401200.807884827,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,6403047.051447237,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,6417157.873569262,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,6421160.077152463,0.2857142857142857
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6436885.449381918,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,6495022.613460223,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,6551725.67864659,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,6579885.920674506,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,6592993.546119565,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,6619670.454614605,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,6628165.055344049,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6631181.037443314,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,6645578.404187313,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,6664212.761675721,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6665165.422822399,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,6665304.505841931,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6671392.507861531,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,6686922.699253829,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,6695989.4724719245,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,6696932.125655346,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6709929.349687436,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,6715918.459945159,0.2857142857142857
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,6724174.185761635,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,6758661.293779867,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,6770246.124817649,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,6822355.505318985,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,6825038.341809289,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,6838116.410840402,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6843196.299247032,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,6852492.546185721,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,6871133.676794863,0.0
