眼见得红日坠落在西山后,19,眼见得红日坠落在西山后，
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,5751227.290553002,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,5757722.761231983,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5764326.737997553,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,5767553.334608135,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,5787819.801617564,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5857460.102241594,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,5899648.00408183,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,5942874.463448154,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,6012084.735702554,0.09090909090909091
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,6022133.372677582,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,6023854.796341505,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,6031975.860219111,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,6041183.574010911,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,6062281.273198303,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,6070812.235775231,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,6183052.014945567,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,6199807.843981756,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,6212926.708780183,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6225218.734218205,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,6268233.308131545,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6270760.392369303,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,6281564.357288819,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,6283405.108447932,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6286248.186226974,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,6319640.7336043175,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6328654.225045845,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,6347113.132965607,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,6360444.592121858,0.09090909090909091
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,6367710.621406887,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6376096.615212987,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,6404378.013846382,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6436473.512204404,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6453912.859535957,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,6482139.990796604,0.09090909090909091
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6504208.227509986,0.09090909090909091
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6542395.78509994,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,6551034.212535699,0.0
