娘想儿来泪双流,3,娘想儿来泪双流。
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,4248965.021999038,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4283618.02139517,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,4300064.887331873,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,4345205.916482282,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,4412674.898193553,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,4419167.242188323,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,4422084.69471113,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,4493957.5499597965,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,4498980.6894972315,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,4518924.363939602,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,4540647.804943064,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,4566720.201814071,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,4577660.443229328,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,4577810.067646545,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,4604219.275889941,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,4605870.842966078,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,4623665.633456535,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4681234.757558092,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,4706559.743035794,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,4733616.703264349,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,4743924.094795485,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,4759904.000884685,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,4772724.359463773,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,4804761.086701085,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4810187.521704348,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,4811722.089469487,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,4812280.132653612,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,4837399.393203431,0.0
