芳心寂寞有谁怜,0,芳心寂寞有谁怜，
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5805090.1943650944,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5808556.399777052,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,5814032.2196124671,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,5825752.795230682,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5841331.7933578221,0.2857142857142857
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,5856576.0259508202,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,5869184.575771125,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,5874345.7499419637,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,5876968.4551609121,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,5892237.4885291783,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,5953589.7987675453,0.14285714285714285
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,5965868.3280639695,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,5970010.662612888,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,5992972.0561319022,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,5999350.1915022191,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,6026601.1102957278,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6026724.430136011,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6043312.7467051977,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,6045219.3462624876,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6055717.8945946489,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6073205.0631120456,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,6082504.7205613693,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6091295.9448314272,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,6093358.7642869409,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6093697.2567679249,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6100602.1979810866,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6116896.2435373534,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,6124258.7855933923,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,6128965.4761439487,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,6130156.1526266215,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,6147129.2965813298,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,6148214.0222239411,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,6148591.9363721637,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6150613.0918409126,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6159608.5171347065,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6165273.6222927086,0.14285714285714285
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6172099.3580023134,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6175292.6395860296,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,6186548.2711430844,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,6194556.8916274011,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,6214547.2925322801,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6219899.5946424296,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,6221723.2092417721,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6234251.9366835561,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,6246659.1130622271,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6257566.4671639604,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6268612.6828794489,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,6277568.7388533233,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,6278984.2224590639,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,6281876.6551206047,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6303331.5239084261,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6308360.0328667071,0.14285714285714285
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,6313434.3039650414,0.14285714285714285
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,6330696.1748822518,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,6337327.666008194,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,6341664.7059114454,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,6354297.9194446988,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,6387330.5124398153,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,6390656.7769707758,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,6407091.9266646393,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,6420910.4046041071,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,6434175.646398996,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,6444030.8203408495,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,6455934.0396954836,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6468238.1593454676,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,6496912.3560644034,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6529862.5882327193,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,6532867.2858640077,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,6542113.760930201,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,6562641.5610006582,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,6564987.4187855972,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,6575283.9288838245,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,6578400.1709494879,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,6581105.248455721,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6604518.2087739129,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6618474.7097830586,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6618929.7473097248,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6642889.122318292,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,6654269.1369682802,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6663834.6581632523,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,6683262.1227196036,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6697442.0383128952,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,6699445.1967079183,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6706766.915602535,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6711449.8056377694,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6711449.8056377694,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,6713728.3798490781,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,6719685.9686751952,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6720765.8624146255,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6753297.6270673145,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,6754096.7934208699,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,6771023.1050188532,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,6816232.6532082278,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,6827667.6990172053,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,6852700.3789265575,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,6876639.3026185837,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6891703.3522052113,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,6912339.1140587376,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,6919232.2627305109,0.14285714285714285
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,6928403.2176317926,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6934750.2548179422,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,6954928.599145391,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6969326.0906439302,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,6974334.1138656586,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6975369.6426009862,0.14285714285714285
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,6991712.1478954023,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,7001350.6789068757,0.0
