奴似嫦娥离月宫,295,奴似嫦娥离月宫。
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,9537655.2685597353,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,9564463.46750121,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,9567701.1433286462,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,9601865.322437251,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,9607683.35114678,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,9653311.9922514148,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,9672779.9274693895,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,9710011.5795677919,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,9735286.8858751729,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,9736977.8908925895,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,9749660.9692121167,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,9757855.3450842928,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,9766163.7352805454,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,9770083.9194916375,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,9793194.9407041483,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,9795761.5781479459,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,9830881.0420564972,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,9859714.9790861979,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9861850.1380571388,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,9881702.1524566337,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,9893553.5407130197,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,9893712.0616960805,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,9905340.2368881647,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9909165.2487821989,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,9912415.764929425,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,9912642.8487347662,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,9977090.3268410973,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,10004005.892756728,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,10004005.892756728,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,10018183.908585459,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,10062165.221257813,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,10077799.899581457,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,10083333.933914734,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,10101205.924190387,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,10107004.376882765,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,10108452.859236699,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,10112651.610577522,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,10113602.040712731,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,10190956.884519557,0.14285714285714285
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,10283483.178891573,1.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,10289257.121043099,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,10342809.432981826,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,10360928.912126308,0.14285714285714285
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,10370335.646729046,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,10383285.41853296,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,10450809.599640064,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,10481584.074353626,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,10494118.316386973,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,10517877.299488723,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,10591891.890115898,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,10592730.054615701,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,10641930.974570202,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,10646235.57751921,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,10647891.66402339,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,10697790.12727887,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,10700431.828778949,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,10712726.97812869,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,10812962.521503221,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,10941120.447395956,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,10984927.790838169,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,11078215.706440419,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,11119767.736909879,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,11138231.852348173,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,11165301.212774251,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,11270135.921176594,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,11295600.337150471,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,11379636.714295102,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,11433247.049031876,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,11506836.5946212,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,11508296.752865005,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,11511283.686779182,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,11541097.070042443,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,11564412.424784033,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,11681595.747550862,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,11708402.994951708,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,11933783.473040804,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,11962027.921566272,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,11962227.094862476,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,11981703.188892296,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,12057176.328003665,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,12259103.342435619,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,12286453.690142393,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,12332739.400006093,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,12437849.512027428,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,12437849.512027428,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,12498562.470778223,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,12538952.255414641,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,12552938.259645654,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,12650394.50364393,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,12680938.403084053,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,12699217.996425254,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,12750208.148399275,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,12775334.351825129,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,12787519.631839374,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,12796355.856095046,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,12851694.591746693,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,12942824.411844248,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,12972531.324045092,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,13012957.363467094,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,13020608.769885307,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,13023454.240811503,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,13050470.968418889,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,13050470.968418889,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,13136119.969974136,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,13147761.92098359,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,13170808.115769798,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,13172271.360048577,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,13358745.399860673,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,13384183.091986159,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,13398366.559159305,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,13447028.831832536,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,13448124.04074638,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,13453168.74298045,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,13499107.99063758,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,13516180.709505646,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,13520252.708324898,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,13544394.253966307,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,13848955.223436458,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,14130091.747826358,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,14138086.33489975,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,14138926.76793324,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,14179326.472193532,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,14225077.118581215,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,14466337.486561818,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,14512621.848983798,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,14531084.796985092,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,14533923.213876793,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,14645601.087891778,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,14787954.822196823,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,14827484.556074925,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,14891348.973368883,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,14901776.188002629,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,14914553.79530446,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,14939304.368529825,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,15002405.368558764,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,15067795.443073956,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,15121677.209026152,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,15126515.739131287,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,15175346.563317204,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,15289399.893840434,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,15294615.467404393,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,15329361.672378635,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,15405281.1611975,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,15461146.749229547,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,15465865.841427384,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,15504299.614554258,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,15577205.710545197,0.14285714285714285
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,15600356.567019543,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,15668032.817803023,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,15732144.540913222,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,15740333.758727567,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,15952630.78420783,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,15963165.327046644,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,15975727.961831005,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,16020237.914268872,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,16029838.115849726,0.14285714285714285
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,16117992.911539564,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,16140307.359110959,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,16185953.63463719,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,16206054.420682697,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,16234620.18026216,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,16238210.080302758,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,16345468.965846458,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,16400714.455910996,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,16453809.587349189,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,16476811.976477111,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,16560541.344689598,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,16570924.776589753,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,16594692.414271777,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,16631980.078756649,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,16638253.123071402,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,16658445.098854143,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,16698999.590694416,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,16723188.695738463,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,16725941.569690455,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,16726087.939271018,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,16755966.505375043,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,16844208.75147469,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,17028655.313514631,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,17188521.17879023,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,17440591.837057147,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,17538678.740055457,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,17582918.237422429,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,17660067.528042123,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,17871520.195457716,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,18103662.083711218,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,18241887.356049731,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,18282090.354997117,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,18324920.764467023,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,18497819.431592193,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,19027445.224069655,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,19097400.98120445,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,19199054.707557704,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,19366497.71140163,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,19477992.402461141,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,19586023.814790368,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,19596729.521136899,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,19646561.587979142,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,19849948.130756725,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,20016028.212112002,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,20045434.510132086,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,20070661.779496372,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,20141831.19300488,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,20175324.985200815,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,20204630.316890627,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,20329530.61984659,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,20502120.840490226,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,20532741.224366803,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,20641794.201086022,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,20668162.520589788,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,20706506.337312832,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,20746170.412528772,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,21450879.732410822,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,21564514.818524558,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,22004318.137231439,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,22217593.250138525,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,23070303.685564667,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,23118052.424409702,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,23446065.921725772,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,23678015.303794228,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,23736204.407495644,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,23736204.407495644,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,23990424.484133285,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,24273565.990178898,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,24287532.871664252,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,24292156.794602431,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,24317780.488349047,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,24507682.987046722,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,24878800.469949916,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,27753931.864731062,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,27753931.864731062,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,30029372.417113699,0.14285714285714285
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,30645512.407916173,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,33522626.310213082,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,1257387556.6180437,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,1485422486.7619867,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,1605745250.2069263,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,1703221184.7642047,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,1715525890.662652,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,1731776784.7083235,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,1761835416.9018514,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,1763455694.5466559,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,1800719799.4464245,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,1813185395.8785663,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,1813185395.8785663,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,1887551454.4987202,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,1941690301.6736429,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,1947459635.9982767,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,1968827578.0341582,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,1997225312.8839364,0.0
lsxp-ZheYiFeng-DingJunShan.xml_7,退后的项上吃一刀。,2046182546.9895737,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,2047090965.9189336,0.0
lsxp-ZheYiFeng-DingJunShan.xml_3,大小儿郎听根苗，,2060575447.4120479,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,2074695683.8551798,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,2099521401.9724624,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,2099567850.264678,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,2111760444.2819786,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,2140991397.5558674,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,2146072546.5927505,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,2159974766.3750172,0.0
lsxp-YiShiWu-YuCangJian.xml_5,信用无极狗奸谗。,2168966084.935606,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,2211355117.9051137,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,2213570223.1822257,0.0
