奴似嫦娥离月宫,295,奴似嫦娥离月宫。
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,5608410.7711485568,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,5610011.2939797919,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,5629972.335147243,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,5635817.8859507656,0.2857142857142857
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5680556.2615714362,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5739056.1123838807,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,5772576.3683598852,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,5772745.2353797667,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,5794334.6808616444,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5795396.8894285485,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,5847876.1635181,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5864417.7521515982,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,5904591.6554559907,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,5908633.6073394734,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5919030.4142163349,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5922868.5488975076,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,5943192.8933270471,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,5954039.6975362729,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,6072567.735816272,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,6161092.9733324191,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,6181091.2642935142,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6188127.9916129494,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,6208323.9665909698,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,6212626.5638986202,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,6291697.7452083845,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,6300526.4735534471,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6334011.4623036664,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6334011.4623036664,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6345923.248648122,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,6387053.7023202302,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,6401707.5040777894,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6437041.3806626918,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6465495.657592277,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,6488857.937397087,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,6488857.937397087,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,6493330.0674833301,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6541337.2932819929,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,6571309.2529628109,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,6588776.9790855004,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,6598004.2279199045,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,6600161.9791148249,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6619476.2465943266,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,6626015.8901292495,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,6632611.6978203105,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,6634146.6629890101,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6654134.9944490278,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6693929.3085262515,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,6715825.1332008671,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,6751345.8611914515,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6757004.7986528631,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6793712.3535332493,0.14285714285714285
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6815756.5238522785,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6824142.0744765466,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,6831553.3825427648,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,6838051.9985655993,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,6864613.7816830184,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6894645.8850611849,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,6926079.0467065983,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,6927435.0744776297,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6931391.0970876645,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,6943391.1216842644,0.0
