何处悲声破寂寥,0,何处悲声破寂寥。
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,3525482.9057369162,1.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,3534623.143838163,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,4150117.9544517216,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,4166131.5476376903,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,4303739.991878327,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,4400866.3454792835,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,4448530.9065689072,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,4964305.6201014677,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,5211732.6068756804,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,5229748.9203894893,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,5469234.5109851854,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5690493.9986628229,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5700976.9209160833,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,5777065.7506176801,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5961679.5510336878,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,6156886.7761537088,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,6298148.1385948034,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,6357974.5724515049,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6521647.9857075922,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6547881.4643219598,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,6604039.360811756,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,6604039.360811756,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,6612768.6850947533,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,6710941.8587963218,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,6712958.9606402721,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,6847595.2966080457,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6856092.1872374564,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,6871083.7041488858,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,6922493.6163947238,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6960089.6096315598,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,6979000.5698176241,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6994915.2079481119,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,7026571.5465585086,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,7070557.0304965489,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,7141296.7140102722,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,7230349.3033943679,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,7271416.0645669559,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,7303110.8462962918,0.0
