害得儿夫犯焦急,0,害得儿夫犯焦急；
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,7293395.7975254683,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,7296708.7454646649,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,7394618.389952071,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7409306.8820084976,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,7484712.5923560308,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,7510158.0928401938,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,7556207.7536295801,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7618119.797445138,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,7679203.1428083582,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,7683349.9533919636,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,7694473.2715065964,0.42857142857142855
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,7712498.3672167594,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7730146.0052600754,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,7779619.0302427802,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,7780653.0210285336,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7789296.0822261851,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,7797310.4324269751,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,7797310.4324269751,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,7819595.013057516,0.42857142857142855
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,7820741.0161165707,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7835278.8998386627,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,7839541.094654859,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,7865815.2608722309,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,7908835.3371144356,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7950825.6766799511,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,7951838.0048067467,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,7977632.0793746691,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,7998041.2567354916,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,8066502.3731740918,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,8078855.7184792673,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,8094553.7935499763,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,8117783.013197707,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8135198.9809897039,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,8138458.4234199217,0.14285714285714285
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,8192739.8834198806,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,8245822.3454243718,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,8251915.2059127484,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,8296137.9769822676,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8299313.6307745641,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,8301104.6450413773,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,8309747.6551581295,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8327583.5694812452,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,8331696.3689475311,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,8339366.3311383901,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,8352417.2015241943,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8361270.8580859546,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,8383944.9049535291,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,8412295.8992455378,0.0
