在潼台被贼擒性命好险,0,在潼台被贼擒性命好险，
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,11946236.996592782,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,11989432.311833715,0.1
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,11990281.046392664,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,12010008.773896437,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,12024959.136392985,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,12041886.664340807,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,12069124.65562298,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,12121212.739468992,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,12150955.195992222,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,12224876.368438326,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,12265150.089494832,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,12269203.058891142,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,12279945.276587082,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,12286056.28567645,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,12308937.092901751,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,12313974.818174982,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,12384278.242329873,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,12412174.401318014,0.1
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,12425242.566485995,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,12438429.237100577,0.1
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,12466771.298985012,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,12500875.104471145,0.1
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,12525935.385152474,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,12533544.796937449,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,12557544.510030659,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,12572647.469343571,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,12630802.245359536,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,12678879.373879923,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,12731676.225383591,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,12767351.96756324,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,12769897.540550767,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,12793278.997362103,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,12807781.479727831,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,12830197.756211035,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,12837685.723828388,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,12843358.323053179,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,12843358.323053179,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,12874636.535601763,0.1
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,12882322.336583711,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,12908600.253897192,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,12932721.690561617,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,12970638.75479483,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,12978870.240701821,0.1
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,13071176.531817447,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,13103511.406225884,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,13259283.560697565,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,13330565.161516428,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,13344458.948152294,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,13393527.880967954,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,13429730.293976359,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,13465417.613841796,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,13481748.916995324,0.1
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,13488150.637576126,0.1
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,13514179.1713697,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,13573375.180809861,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,13597501.717606021,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,13737038.618058369,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,13866977.117304321,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,13874839.949053667,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,13889476.578137189,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,14093278.917987736,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,14108181.653844513,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,14170492.850143695,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,14197306.598087581,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,14197423.745308939,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,14205624.209023971,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,14323540.462295929,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,14330107.71831082,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,14332227.705363581,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,14378179.882683799,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,14619684.218469018,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,14656081.753416501,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,14668428.397721812,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,14669293.274102045,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,14677544.191717628,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,14695200.598165864,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,14732158.461195597,0.1
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,14746711.35861139,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,14748608.115526035,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,14763154.123949653,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,14770940.499925233,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,14798290.183931848,0.1
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,14870908.684720214,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,14923206.480739083,0.1
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,14967189.220067596,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,15023344.005774666,0.1
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,15052266.507133327,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,15268146.984260648,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,15270301.73174624,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,15298388.704122448,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,15394707.888345839,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,15406482.836689102,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,15406482.836689102,0.1
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,15425997.598218961,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,15501122.4474004,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,15551527.184563024,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,15562769.262625543,0.1
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,15663663.86666069,0.1
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,15675227.55535561,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,15683964.594479546,0.1
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,15741882.18324177,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,15788307.876990814,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,15825040.392622154,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,15859943.458776101,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,15877638.008016013,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,15881636.561171044,0.1
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,15881682.62830637,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,16026154.590048516,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,16026258.752817625,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,16066399.726783356,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,16083818.984526645,0.1
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,16134158.701736653,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,16315141.756938927,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,16440273.301218644,0.2
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,16508626.45777222,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,16545573.22307902,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,16637944.21115615,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,16645707.3593136,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,16702193.254456371,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,16743728.086541859,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,16780726.968138043,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,16893932.387967158,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,16982487.211463992,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,16993061.062154289,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,17011306.153208669,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,17041605.562242266,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,17146735.698339351,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,17197630.576083399,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,17251843.175145272,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,17307736.508154247,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,17357466.915062662,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,17381350.319249403,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,17464056.332850292,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,17543898.415059566,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,17738602.227643259,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,17836142.285595831,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,18041705.69200711,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,18080519.943414766,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,18123674.787473898,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,18130517.293006357,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,18131143.912523095,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,18135206.559892163,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,18196961.729847923,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,18244509.875789355,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,18346504.564264856,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,18352504.837968845,0.1
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,18383215.914739881,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,18392243.091113001,0.1
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,18414696.160594366,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,18434380.595998328,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,18438967.847952578,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,18517042.107208699,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,18699414.692339733,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,18745624.319192763,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,18754019.716467641,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,18834026.95573321,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,19069713.155231226,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,19115273.348743729,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,19203773.156260543,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,19296641.228398066,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,19307895.754904836,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,19362044.200271901,0.1
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,19417613.297424339,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,19471095.030915782,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,19511812.219629399,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,19765429.907548744,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,19829618.561923701,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,19833600.308288526,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,19848221.563324466,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,19913343.098239135,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,19935410.176878262,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,19986326.354435425,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,19986505.567268133,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,20228581.489867609,0.1
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,20267772.287396893,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,20416589.045212649,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,20509739.332329977,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,20613480.254203517,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,20653061.499657702,0.1
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,20821017.979404535,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,20882824.157717194,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,20882824.157717194,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,20986378.690745924,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,20994837.218428418,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,21078493.597522479,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,21258653.571805425,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,21264023.871204283,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,21408027.504365388,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,21453480.458130017,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,21478636.157543257,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,21512351.646333229,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,21647508.089578662,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,21663358.819910113,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,21760888.120093036,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,21776862.80373903,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,21844030.229819328,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,22006544.318475492,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,22218004.283244319,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,22538060.844945144,0.1
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,22539687.954349697,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,22772149.428531736,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,22782757.208275486,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,22813137.832833964,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,22822791.945644103,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,22835865.210970264,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,22925506.324703831,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,22948679.039868087,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,22964426.365358897,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,23005158.992877267,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,23049393.433545634,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,23179749.095252972,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,23252958.075487889,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,23589623.680956837,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,23634313.328215498,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,23802956.186409857,0.1
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,24130586.976952586,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,24130586.976952586,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,24603310.233242549,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,24674981.94858215,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,24968525.124966856,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,25111137.456972793,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,25308543.632259466,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,25712660.612815015,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,25751275.971235901,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,25818550.617243096,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,25818550.617243096,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,25861860.47683287,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,25892567.198662721,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,26290118.14850051,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,26450564.73250059,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,26500645.029703408,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,26800804.178835552,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,27606450.839547366,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,28987573.205141723,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,31214891.52706828,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,31764353.295826226,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,32723123.122370634,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,32864606.441236906,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,33830239.646991909,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,1823814114.0863774,0.0
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,1978346095.058991,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,2076716699.3847764,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,2255524255.9885864,0.1
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,2266509024.5762467,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,2277706115.4993401,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_3,缘何不救我出笼牢。,2409142814.8995819,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,2516631383.3688297,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,2533564900.0340686,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,2718601514.0503826,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,2735290454.9967532,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,2739472408.6392641,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,2766622905.6887269,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,2792152547.4269171,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,2793102033.2624145,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,2793102033.2624145,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,2794733836.8263974,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,2805255488.7292113,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,2826976134.6919146,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,2858316543.5267177,0.0
lseh-XiRiLi-BaoLianDeng.xml_9,那叔齐逃出了后宰门，,2866742567.5012856,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_5,这才是花随水水不（哇）能恋（呐）花。,2918130654.3648148,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,2933456197.4740486,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,3020474307.6525369,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,3033016465.759058,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,3072560212.076097,0.0
