唤起我破天门壮志凌云,0,唤起我破天门状志凌云。
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,669820.63429406635,0.9
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,1045736.1547113868,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,1118416.5642010339,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,2188426.3221499282,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,2265583.9942795099,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,2439334.0373161989,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,2811151.9030388114,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,2883676.3184960457,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,2995826.5982935322,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,3011125.917041644,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,3026308.748402793,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,3097996.2467717663,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3110367.8541978835,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,3263397.4969294169,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3348419.468905366,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,3713287.9573398144,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,3733010.3724609544,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,3752873.6125785084,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,3757040.1860374329,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,3873270.3281159969,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,3920616.5933061964,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,3936071.8755534622,0.1
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,3959713.9771440285,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,3964494.9178731316,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,3968627.5907411831,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,4096586.6220969195,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4101267.0907425066,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,4133530.2309332159,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4178156.063600678,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,4211805.2446437972,0.1
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,4221271.0308723263,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4333714.4143689312,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,4350931.8317060582,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,4376604.4906608751,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,4392491.5940114772,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,4416415.0519938357,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,4517424.0685410285,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,4628529.4547051052,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,4666679.0570701826,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,4668257.7926819827,0.2
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,4691698.7344905594,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,4712797.4687296022,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4760616.2183539961,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,4769103.9790433757,0.1
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,4839544.1617208254,0.1
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4842417.5241044592,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,4967031.1734058447,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,4983294.5001893518,0.1
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5001144.4890371002,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,5055693.0424343776,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5092221.285990851,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5100704.8033733014,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5171769.4488715874,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,5193296.1896789083,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,5195507.9784300411,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5216381.6414139643,0.1
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5244949.0865715025,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,5329353.9729340952,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,5376015.1765641291,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5379437.6236112807,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5387488.0225436855,0.1
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,5388828.6583958948,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5418378.3908100296,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,5480571.4487066381,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,5490111.0960069159,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,5509870.3401219249,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,5511297.8286430454,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,5536625.405238444,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5568015.8048393866,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5623096.2595532713,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,5630737.2188561875,0.2
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,5684885.1020857086,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,5733245.6349639948,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,5790847.3238826124,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,5821268.685070578,0.1
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,5842377.5360437734,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,5854539.044148338,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,5919387.7313417494,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,5991916.0724400068,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6084478.770619195,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6139292.9680482913,0.1
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,6142328.3328343621,0.1
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6157015.6124323225,0.1
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,6170273.9769802075,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,6192425.8044271292,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,6212665.9989182707,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,6228740.8862425862,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,6245884.7846209453,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6272758.3949891571,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6285729.63147402,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,6292655.0752992732,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,6295474.3440618264,0.1
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,6320594.8960733814,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,6336102.6901926138,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,6341933.4579464886,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6368554.9020046769,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,6394064.5151578169,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,6395179.3985866532,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,6405394.3522486892,0.1
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,6440440.9832905931,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6472197.8781772004,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6491651.2925442234,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6526967.6815689094,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,6545661.5187148517,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6551197.2393018818,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,6565811.200479717,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6577805.0546675408,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6581911.5730286175,0.1
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6583395.7074547838,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,6627269.7764712125,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6644394.0717187291,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,6646351.9470877945,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,6647131.6169214183,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6648761.3119601421,0.1
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,6671810.5534418141,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6698514.26110595,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6738927.4955580942,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6744760.971061321,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6749297.0982510718,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,6754061.2795985639,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,6758039.6697758492,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6771393.1477327934,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,6799239.01227393,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,6818292.0460885717,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,6834930.1276287381,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6837744.3459055657,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6867966.0624888213,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,6897586.828190309,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6920786.5786112137,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6952106.824952567,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6978916.0647840397,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,6997650.3554923646,0.1
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7025409.4153216509,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7070981.6978812665,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7077696.568582003,0.1
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7087657.5052847331,0.1
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,7125013.4347639317,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,7139040.5463102749,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7156016.9647929752,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,7200482.7400924619,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7219615.1368149538,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7219615.1368149538,0.0
