被纠缠陡想起婚时情景,0,被纠缠陡想起婚时情景，
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,7333187.0702068824,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,7353698.042614297,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7376055.4958323529,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,7404597.9302250771,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,7412854.003079542,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7445929.5600296892,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,7448329.504034169,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,7451019.0758027993,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,7466850.0639811298,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,7499469.0316631477,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7510805.848323673,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,7511164.326944137,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,7511164.326944137,0.1
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,7520425.6661618724,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,7545614.6296923961,0.1
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,7549413.6205165666,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,7551528.0197924441,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,7558701.2559668431,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,7568487.9881529333,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7569525.227223183,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,7579074.4075585781,0.2
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,7582962.1747668758,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,7608472.1440921901,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,7609855.257940365,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,7613404.3367717518,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,7627376.4455201831,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,7629699.414158904,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7636100.7605915992,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,7636803.8296036618,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,7641353.3776891604,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7644030.8971243771,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,7696449.8254090715,0.1
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,7696635.319353479,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,7703137.6050783098,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7746046.1195830768,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,7757190.0450047906,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,7761668.2211570377,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,7788748.0505259354,0.2
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,7800376.1128751663,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,7804492.3219118901,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,7836406.387608571,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7867128.9273751099,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_1,算当初曾经得几晌温存。,7871233.1085348567,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,7881679.9715302177,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,7918934.1937617045,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,7923890.0605163984,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,7940361.7813079329,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7953621.7203468522,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,7954546.2782188077,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,7999012.8736100942,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,8011762.4987051291,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,8025551.5840056892,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,8028352.1535972655,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,8051863.4388330681,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,8057394.1373203676,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,8106014.8984562,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,8120708.9948371602,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,8128927.6708227973,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,8136288.2582369577,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,8168116.7068077736,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,8168116.7068077736,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,8176446.2776563698,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,8184640.2898252131,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,8295630.9644061504,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,8327844.8327012025,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,8339733.6875239965,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,8353420.2590354523,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,8356864.2813897831,0.2
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,8364029.7716612965,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,8371994.6229096735,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,8375185.0184454247,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,8380158.5048327213,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,8389491.115824379,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,8412767.8718318138,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,8508375.3879981246,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,8532221.0455235206,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,8538341.0141049679,0.1
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,8619697.5642927568,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,8626305.5336721689,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,8676429.0151697323,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,8707946.2632294912,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,8731946.7987925708,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,8760561.6033942942,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,8766378.0344740991,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,8817092.8646813016,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,8841890.2110525854,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,8852359.4572821707,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,8852613.400206482,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,8881197.1573916301,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,8888855.5644114725,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,8956906.8232236411,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,8979837.0697388481,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,9004554.623171676,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,9048489.0350999944,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,9087272.2361112125,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,9087272.2361112125,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,9094871.5130942725,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,9114278.3502726667,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,9136303.477015499,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,9140683.4198805895,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,9142022.1497958042,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,9207567.4723731838,0.1
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,9232946.6043131072,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,9302826.8274982367,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,9306481.1176015735,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,9315970.3171629682,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,9346894.2455305103,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,9380890.8328542877,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,9391243.8247897606,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,9408248.1057561543,0.1
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,9411866.0854484122,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,9419012.4971550964,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,9437110.7956657838,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,9450867.6602765638,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,9482149.2690871563,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,9483332.6683813687,0.1
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,9491886.3647699803,0.1
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,9510767.2535875514,0.2
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,9523477.7850109171,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,9543688.6002198327,0.1
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,9621493.326598566,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,9640572.9477606677,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,9654445.4482472278,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,9660471.2629462779,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,9692378.1336178686,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,9697722.2630915809,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,9710760.6485349294,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,9730044.9056247734,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,9740946.2715924159,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,9756701.3024124019,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,9777299.3704661727,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,9824853.0400259104,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,9843765.8558822088,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,9879923.0394430105,0.1
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,9918958.6167405676,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,9946616.9271046985,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,9959464.9666005205,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,9992382.5350885075,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,10019427.452769753,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,10023647.417127954,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,10035838.013006683,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,10053367.921963345,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,10058930.278279329,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,10161500.469421847,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,10162158.101921216,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,10171888.169138258,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,10195810.47905802,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,10217976.170516476,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,10314727.958025943,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,10365793.43759463,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,10415033.823863657,0.1
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,10418159.618761895,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,10427444.700033756,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,10428981.334978081,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,10455752.426376926,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,10465029.610840371,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,10493698.239223432,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,10544987.456172761,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,10595316.580907995,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,10606213.246421346,0.2
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,10608495.575344631,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,10608814.603554772,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,10612920.122654876,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,10647832.414929673,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_2,父道那薛平贵是那化郎模样，,10805387.076941513,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,10816797.061502237,0.1
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,10935817.344734622,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,11002761.54336331,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,11102987.608260341,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,11125131.022353157,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,11160364.531905459,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,11192645.084050035,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,11201834.724328114,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,11207750.393889843,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,11228074.866201673,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,11272582.676499672,0.0
daxp-XiShiNv-XiShi.xml_3,每日里浣纱去又傍清溪。,11278129.156854803,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,11493965.889722416,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,11590616.972164361,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,11593553.555408435,0.0
daeh-TanHongYan-HuoXiaoYu.xml_1,美满姻缘付东流。,11595054.903305046,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,11637314.521807032,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,11687573.608046468,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,11696259.801286338,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,11715925.763552155,0.0
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,11753452.306899086,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,12032334.43167883,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,12065012.158992404,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,12179536.319984829,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,12242667.296269398,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,12282157.161525449,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,12287166.424661661,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,12287166.424661661,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,12322691.398030153,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,12408175.232129265,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,12432497.06651157,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,12632494.988728095,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,12649781.99111129,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,12812009.180102764,0.0
daxp-ZhiJianTa-WangJiangTing.xml_8,出二堂深施礼，,12871525.485094737,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,12893827.641985107,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,12998073.492124205,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,13107667.039107496,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,13427824.414186524,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,13611237.879642148,0.1
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,13621854.402205141,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,13648136.195708353,0.1
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,13706046.20227341,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,13828797.830197593,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,13968464.14360412,0.1
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,14099551.686167005,0.1
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,14292410.316964967,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,14427856.286810771,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,14572726.111331759,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,14636922.398886958,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,15012225.778052934,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,15116152.373580499,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,15117544.030019365,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,15654207.931640591,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,15857321.971658636,0.1
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,16023696.818206707,0.1
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,16625591.194056593,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,17613417.24842776,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,17613417.24842776,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,17961485.86973796,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,18088102.38700176,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,18807646.307834126,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,18831000.766985167,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,19560845.039016258,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,20841227.783762917,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,21389913.73246647,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,21806572.887597904,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,363890497.81756288,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,364689590.85294825,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,381795386.28491777,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,385010641.32935506,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,390722463.89171439,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,399540917.92239547,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,400347697.07568836,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,401835679.58778191,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,408973112.45503515,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,450235770.60769325,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,450732763.1229744,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,454605162.25606155,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,454873093.48806518,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,459448570.11780578,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,462011774.009036,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,472987488.16008312,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,474278951.67460668,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,474646464.37622261,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,477369222.0018329,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,480942110.31856006,0.0
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,489197418.18208843,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,491154453.67401296,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,495675497.42586654,0.0
lsxp-DaHeYi-SiLangTanMu.xml_30,自己骨肉认不清。,501250565.92045659,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,501941224.87892288,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,503500620.56391323,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,503859818.05515039,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,505046253.50463706,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,509096996.85405409,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,510888232.50984561,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,511402326.13545132,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,513247615.30906379,0.0
