被纠缠陡想起婚时情景,0,被纠缠陡想起婚时情景，
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,4665156.9478950053,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,4665409.911866202,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,4737232.9295701692,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,4737336.7263086,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,4755322.8362241201,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,4767965.8082134705,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,4772238.583357078,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,4863176.9983415045,0.1
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,4874936.362321754,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,4875173.2315997258,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,4877046.1421947135,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,4903479.0550228795,0.1
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,4944691.3423710568,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,4951297.6408217568,0.1
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,4951827.1411594469,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,4956758.9014249118,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,4960635.7578590121,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,4970374.2414641129,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,4974312.708710704,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,5006430.6350223301,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,5009463.3396641137,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,5016867.4811098808,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5031252.4209412895,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,5039829.4879017379,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,5049600.8808071576,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,5050605.5203045392,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,5104298.579855036,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,5124696.4823264582,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5130153.2399213472,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5142207.4642215678,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,5144291.361424583,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,5149467.1947490852,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,5174882.7321933433,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,5186186.0375760291,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5197793.6602134006,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,5206891.4788898937,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,5207684.6254159072,0.1
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5213916.8964533648,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5235704.0492793592,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,5253723.0988636035,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,5259706.5147605697,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,5265202.1262585819,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,5267582.5418608161,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5285059.0999638066,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,5301002.4012648501,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,5315508.010391172,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,5339396.0021628672,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,5352249.3222827166,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,5357106.8051171303,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5387213.7029019427,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5387266.6199038243,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,5399571.7252044156,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,5408892.9233300975,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5412562.9619781878,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,5415585.0534773637,0.1
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5429272.8686394822,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,5445144.654413145,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,5447201.8898805296,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5447447.6011933759,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,5455776.724188339,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5463173.7212451845,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,5486744.8779696813,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5491997.5742728291,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5495220.3944005668,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,5500911.5192397414,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5503490.1749368925,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,5513481.9646277567,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,5534412.0226859888,0.1
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,5601301.2800120236,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,5660917.8445018539,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,5684584.5756690726,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,5705166.3139623627,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,5727543.2470522532,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5729775.6109416243,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,5731987.9745898852,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,5738595.9252131004,0.0
