跟随着小红娘就能见着她,237,那就是来了我西厢带路的小红娘。
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5817786.0062669506,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5825817.8852591887,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,5838964.2578609036,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,5877978.5165650416,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5893101.2670320421,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,5903102.200825789,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,5912409.891696197,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,5918922.9009635169,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,5920427.4603225049,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5954870.0966765471,0.09090909090909091
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5981552.2123867506,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,5994115.6816792293,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6033077.6480758069,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6033205.7526157415,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6112115.3545578504,0.09090909090909091
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,6116895.8182807481,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6134809.111089698,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6142141.4446259448,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,6148432.7377778469,0.09090909090909091
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,6253415.337267044,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6272193.9285148019,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6295173.3161432156,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,6370836.6515421942,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,6382323.2260652538,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6382600.2438961603,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,6397824.5633186903,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6407713.397077268,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,6446696.3920225147,0.09090909090909091
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,6482135.9612357663,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6490930.876061365,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,6554874.6780370343,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,6560671.2254704731,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,6580690.6765575986,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,6620852.4198744306,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,6624501.9121923754,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,6631267.0914345253,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,6687510.6907091914,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,6700605.5325478511,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6713466.1556487978,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,6743735.3664901415,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,6764190.148861561,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,6803178.2509037228,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,6821126.9039850002,0.0
